 RUSYA ÜNİVERSİTELERİ,,,,,,,,,
-KAYIT DANIŞMANLIK 1550 USD ,,,,,,,,,
-YAŞ SINIRI VE LİSE DİPLOMA PUANI ÖNEMLİDİR. 25 YAŞ ÜSTÜ HER OKULA ALINMAZ SADECE RUDİN ALIR.,,,,,,,,,
-VİZELİ BİR ÜLKEDİR. VİZE BİR HAFTADA ÇIKAR. ORTALAMA 180 USD,,,,,,,,,
-BÜTÜN ÖĞRENCİLER YURTTA KALIYOR ORTALAMA 200 USD,,,,,,,,,
,,,,,,,,,
,QS,THE,CWTS,ARWU(SHANGHAİ),,,,,
Ekonomi,Rusça ,301.000 Ruble,,Astronomi,Rusça ,270.000 Ruble,,,
İnsan Kaynakları Yönetimi,Rusça ,270.000 Ruble,,Temel ve Uygulamalı Kimya,Rusça ,270.000 Ruble,,,
Kamu Yönetimi,Rusça ,329.000 Ruble,,Matematik,Rusça ,245.000 Ruble,,,
Siyaset Bilimi,Rusça ,270.000 Ruble,,Fizik-Kimya-Biyoloji,Rusça ,279.000 Ruble,,,
Uluslararası İlişkiler,Rusça ,329.000 Ruble,,Fizik ve Astronomi,İngilizce,391.000 Ruble,,,
Halkla İlişkiler ve Reklamcılık,Rusça ,329.000 Ruble,,Ekonomik Güvenlik,Rusça ,301.000 Ruble,,,
Gazetecilik,Rusça ,329.000 Ruble,,Gümrük,Rusça ,301.000 Ruble,,,
Medya İletişimi,Rusça ,329.000 Ruble,,Adli Bilimler,Rusça ,301.000 Ruble,,,
Turizm,Rusça ,270.000 Ruble,,Ekonomi,İngilizce ,428.000 Ruble,,,
Otel İşletmeciliği,Rusça ,245.000 Ruble,,Sosyoloji,Rusça ,245.000 Ruble,,,
,,,,Uluslararası İlişkiler,Rusça ,245.000 Ruble,,,
,,,,Gazetecilik,Rusça ,245.000 Ruble,,,
,,,,Medya İletişimi,Rusça ,245.000 Ruble,,,
,,,,Halkla İlişkiler ve Reklamcılık,İngilizce ,274.000 Ruble,,,
,,,,,,,,,
,,,,,,,,,
LOMONOSOV MOSKOVA DEVLET  ÜNİVERSİTESİ,,,,YUKSEKLİSANS ,DİL,ÜCRET,,,
Tıp,Rusça,734.000 Ruble,,Biyoloji (2 yıl),İngilizce,425.000 Ruble,,,
Eczacılık,Rusça,634.000 Ruble,Rusça Hazırlık var. 565.500 Ruble ,Nanobiyoteknoloji (2 yıl),İngilizce,425.000 Ruble,,,
Uygulamalı Matematik ve Bilgisayar Bilimleri,Rusça,539.070 Ruble,Eylül/ Ekim- Temmuz arasında eğitim. ,Kimya (2 yıl),İngilizce,666.700 Ruble,,,
Hukuk,Rusça,720.000 Ruble,,Radyofarmasötik Kimya (2 yıl),İngilizce,666.700 Ruble,,,
Temel Bilişim ve Bilgi Teknolojileri ,Rusça,539.070 Ruble,Bütün bölümlerde alan dersi ve Rusça sınavı var.,Geometri ve kuantum alanları/ Matematik (2 yıl),İngilizce,492.930 Ruble,,,
Kimya,Rusça,455.990 Ruble,,Uluslararası İşletme Yönetimi (2 yıl),İngilizce,520.000 Ruble,,,
Temel ve Uygulamalı Kimya,Rusça,455.990 Ruble,,Uluslararası İlişkiler (2 yıl) ,İngilizce,418.470 Ruble,,,
Temel Matematik ve Mekanik,Rusça,409.980 Ruble,Yüksek Lisans programlarında giriş sınavı şartı istenebilir. ,Siyaset Bilimi (2 yıl),İngilizce,418.470 Ruble,,,
Biyoloji,Rusça,575.240 Ruble,İngilizce Yüksek Lisans programları B2 İngilizce ister.,Uluslararası İlişkiler ve Ekonomi Diplomasisi (2 yıl),İngilizce,418.470 Ruble,,,
Ekoloji ve Doğa Yönetimi,Rusça,460.000 Ruble,,Jeoloji (2 yıl),İngilizce,465.450 Ruble,,,
Coğrafya ,Rusça,575.240 Ruble,,Psikoloji (670 akademik saat),İngilizce,400.000 Ruble,,,
Haritacılık ve Jeoinformatik,Rusça,575.240 Ruble,,,,,,,
Hidroloji/ Metalurji,Rusça,575.240 Ruble,,,,,,,
Radyoekoloji ve Ekoteknoloji,Rusça,460.000 Ruble,,,,,,,
Turizm,Rusça,539.070 Ruble,,,,,,,
Toprak Bilimi ,Rusça,460.000 Ruble,,,,,,,
Matematik ve Matematiksel Fizik ,Rusça,409.980 Ruble,,,,,,,
Tarih /Felsefe ,Rusça+İngilizce,411.070 Ruble,,,,,,,
Sanat Tarihi ,Rusça+İngilizce,411.070 Ruble,,,,,,,
Reklamcılık ve Halkla İlişkiler/ TV,Rusça,449.960 Ruble,,,,,,,
Dil Bilimi/ Modern ve Kültürel Rus Dili ,Rusça,420.000 Ruble,,,,,,,
Girişimcilik,Rusça,570.000 Ruble,,,,,,,
Klinik Psikoloji (Uzmanlık 6 YIL),Rusça,448.710 Ruble,,,,,,,
Hizmet Faaliyeti Psikolojisi (Uzmanlık 6 YIL),Rusça,448.710 Ruble,,,,,,,
Filoloji ( Rus Dili Edebiyatı),Rusça,449.960 Ruble,,,,,,,
İşletme/ Yönetim,Rusça,539.070 Ruble,,,,,,,
İnsan Kaynakları Yönetimi,Rusça,539.070 Ruble,,,,,,,
Devlet ve Belediye Yönetimi ,Rusça,539.070 Ruble,,,,,,,
Siyaset Bilimi,Rusça,539.070 Ruble,,,,,,,
Uluslararası İlişkiler ,Rusça,449.960 Ruble,,,,,,,
Siyaset Yönetimi ve Halkla İlişkiler ,Rusça,539.070 Ruble,,,,,,,
Sosyoloji,Rusça,412.000 Ruble ,,,,,,,
Temel Mekanik,Rusça,409.980 Ruble,,,,,,,
Jeoloji (Lisans+ Yükseklisans),Rusça,455.990 Ruble,,,,,,,
"Güzel Sanatlar( Güzel Sanatlar Teorisi, Müzik, Resim, Dans)",Rusça,539.070 Ruble,,,,,,,
Fizik Coğrafyası ve Peyzaj Bilimi,Rusça,460.000 Ruble,,,,,,,
,,,,,,,,,
MOSKOVA DEVLET HAVACILIK ÜNİVERSİTESİ ,DİL,ÜCRET,,YÜKSEK LİSANS,DİL,ÜCRET,,,
,,,,,,,,,
Uçak Mühendisliği,Rusça,3900$ - 380.000 Ruble,İngilizce Hazırlık Paket Ücreti 5050$,Uçak Mühendisliği (2 yıl),İngilizce,500.000 Ruble,,,
Uçak Mühendisliği,İngilizce ,5100$- 500.000 Ruble,Rusça Hazırlık Paket Ücreti  4150$ ,Uzay Aracı Mühendisliği (2 yıl),İngilizce,500.000 Ruble,,,
Havacılık Ekipmanları bakım ve Onarımı,İngilizce ,5100$- 500.000 Ruble,,Mühendislikte Kontrol Sistemleri ve Bilgisayar Bilimleri (2 yıl),İngilizce,500.000 Ruble,,,
Uzay Aracı Mühendisliği ,Rusça,3900$ - 380.000 Ruble,İngilizce sadece hazırlık ücreti 3500$ - 280.000 ruble,Uçak Sevk Mühendisliği ,İngilizce,500.000 Ruble,,,
Uzay Aracı Mühendisliği ,İngilizce ,5100$- 500.000 Ruble,Rusça sadece hazırlık ücreti 2600$ - 250.000 ruble,Uçak Mühendisliği (2 yıl),Rusça,440.000 Ruble,,,
Uçak Sevk Mühendisliği ,Rusça,3900$ - 380.000 Ruble,,Uzay Aracı Mühendisliği (2 yıl),Rusça,440.000 Ruble,,,
Robotik ve Akıllı Sistemler ,Rusça,3900$ - 380.000 Ruble,,Mühendislikte Kontrol Sistemleri ve Bilgisayar Bilimleri (2 yıl),Rusça,440.000 Ruble,,,
Ekonomi Yönetimi ve Dil Bilimi ,Rusça,3900$ - 380.000 Ruble,,Uçak Sevk Mühendisliği ,Rusça,440.000 Ruble,,,
Malzeme Bilimi ve Teknolojisi,Rusça,3900$ - 380.000 Ruble,,Radyo Elektroniği ve İletişim Sistemleri (2 yıl),Rusça,440.000 Ruble,,,
Matematik ve Bilgisayar Bilimi,Rusça,3900$ - 380.000 Ruble,,Matematik ve Bilgisayar Bilimi (2 yıl),Rusça,440.000 Ruble,,,
Uçak Sevk Mühendisliği,İngilizce ,5100$- 500.000 Ruble,,Malzeme Bilimi ve Teknolojisi (2 yıl),Rusça,440.000 Ruble,,,
Araç İçi Elektroniği ve Teknik Sibernetik,Rusça,3900$ - 380.000 Ruble,,,,,,,
,,,,,,,,,
MOSKOVA DEVLET TEKNİK ÜNİVERSİTESİ,DİL,ÜCRET,EK GİDERLER,DOKTORA,DİL,ÜCRET,,,
,,,,,,,,,
Uygulamalı matematik ve bil. Bilim,Rusça,270119 RUBLE ,Hazırlık Rusça Paketı 6750$,Yüksek ögrenim uzmanlıkları  - uzmanlık ,Rusça,302533 RUBLE,,,
Uygulamalı matematik ,Rusça,270119 RUBLE ,,Bilgisaya güvenligi,Rusça,302533 RUBLE,,,
Matematik ve bilgisayar bilimi,Rusça,270119 RUBLE ,YURT ÜCRETİ,Otomatik sistemlerin bilgi güvenliği,Rusça,302533 RUBLE,,,
Bilişim ve bilgisayar Mühendisliği,Rusça,302533 RUBLE,60$-100$,Karşı teknik istihbahrat ,Rusça,302533 RUBLE,,,
Bilgi sistemleri ve teknolojileri,Rusça,302533 RUBLE,SİGORTA,Elektronik sistemler ve kompleksler,Rusça,302533 RUBLE,,,
Yazılım mühendisliği,Rusça,302533 RUBLE,SAĞLIK MUAYENESİ ,Özel amaçlı elek. Ve optoelek cih. Ve sis ,Rusça,302533 RUBLE,,,
Elektronik tasarım ve teknolojileri,Rusça,302533 RUBLE,,Nükleer reaktörler ve malzemeler ,Rusça,350300 RUBLE,,,
Elektronik ve nanoelektronik,Rusça,302533 RUBLE,,Teknolojik makine ve komplekslerin tasarımı ,Rusça,302533 RUBLE,,,
Optik Mühendisliği,Rusça,302533 RUBLE,,Özel yaşam destek sistemleri,Rusça,350300 RUBLE,,,
Biyonteknik sistemler ve tekolojiler ,Rusça,302533 RUBLE,,Mühimmat ve sigortalar ,Rusça,350300 RUBLE,,,
Lazer teknolojisi ve lazer teknolojisi,Rusça,302533 RUBLE,,"Küçük silahlar,Topçu ve roket silahları ",Rusça,350300 RUBLE,,,
Elektrik Mühendisliği,Rusça,302533 RUBLE,,Kara taşımacılığı  teknolojik araçlar ,Rusça,302533 RUBLE,,,
Nükleer Enerji Mühendisliği ve termal fizik,Rusça,350300 RUBLE,,Roketlerin roket metotlarının tasarımı ,Rusça,350300 RUBLE,,,
Makine Mühendisliği,Rusça,302533 RUBLE,,Uzay tek. Uygu. Nav. Ve balistik des.,Rusça,350300 RUBLE,,,
Teknolojik makine ve ekipmanlar ,Rusça,302533 RUBLE,,Uçak kontrol sistemleri,Rusça,350300 RUBLE,,,
Uygulamalı mekanik ,Rusça,302533 RUBLE,,Adli muayene ,Rusça,270199 RUBLE,,,
Teknolojik süeçlerin ve üretimin otomasyonu,Rusça,302533 RUBLE,,,,,,,
Makine yap.endüstrilerinin tas. Ve tek.des.,Rusça,302533 RUBLE,,,,,,,
Mekatronik ve robotik ,Rusça,302533 RUBLE,,,,,,,
Teknik fizik,Rusça,350300 RUBLE,,,,,,,
Yüksek teknoloji plazma ve enerji santraleri,Rusça,350300 RUBLE,,,,,,,
Sogutma kriyojenik tek. Ve yaşam destek sis.,Rusça,350300 RUBLE,,,,,,,
Teknosfer güvenliği,Rusça,302533 RUBLE,,,,,,,
Malzeme bilimi ve malzeme teknolojisi,Rusça,302533 RUBLE,,,,,,,
Roket kompleksleri ve astronotik ,Rusça,350300 RUBLE,,,,,,,
Standardizasyon ve metroloji,Rusça,302533 RUBLE,,,,,,,
Teknik sistemlerde yönetim ,Rusça,302533 RUBLE,,,,,,,
Yenilik,Rusça,302533 RUBLE,,,,,,,
Nano Mühendisliği,Rusça,350300 RUBLE ,,,,,,,
Ekonomi,Rusça,270119 RUBLE,,,,,,,
Yönetim,Rusça,270119 RUBLE,,,,,,,
İşletme bilişimi ,Rusça,270119 RUBLE,,,,,,,
Sosyoloji,Rusça,270119 RUBLE,,,,,,,
Dilbilim,Rusça,270119 RUBLE,,,,,,,
Uygulamalı matematik ,Rusça,290727 RUBLE,,,,,,,
Matematik ve bilgisayar bilimi,Rusça,290727 RUBLE,,,,,,,
Bilişim ve bilgisayar Mühendisliği,Rusça,324577 RUBLE,,,,,,,
Bilgi sistemleri ve teknolojileri,Rusça,324577 RUBLE,,,,,,,
Uygulamalı bilişim ,Rusça,324577 RUBLE,,,,,,,
Yazılım Mühendisliği,Rusça,324577 RUBLE,,,,,,,
Bilgi güvenliği,Rusça,324577 RUBLE,,,,,,,
Elektronik ve nanoelektronik,Rusça,324577 RUBLE,,,,,,,
Optik Mühendisliği,Rusça,324577 RUBLE,,,,,,,
Biyoteknik sistemler ve teknolojiler,Rusça,324577 RUBLE,,,,,,,
Lazer teknolojisi ve lazer teknolojisi,Rusça,324577 RUBLE,,,,,,,
Nükleer enerji Mühendisliği ve termal fizik,Rusça,324577 RUBLE,,,,,,,
Makine Mühendisliği,Rusça,324577 RUBLE,,,,,,,
Teknolojik süreçlerin ve üretimin otomasyonu,Rusça,324577 RUBLE,,,,,,,
Makine yapı endüstrilerinin tası. Ve teki. Des.,Rusça,324577 RUBLE,,,,,,,
Mekatronik ve robotik ,Rusça,324577 RUBLE,,,,,,,
Teknik fizik,Rusça,376255 RUBLE,,,,,,,
Yüksek  teknoloji plazlama ve enerji santralleri,Rusça,376255 RUBLE,,,,,,,
Sogutma kriyojenik tek. Ve yaşam destek sis,Rusça,376255 RUBLE,,,,,,,
Teknosfer güvenliği,Rusça,324577 RUBLE,,,,,,,
Malzeme bilimi ve malzeme teknolojisi,Rusça,324577 RUBLE,,,,,,,
Kara taşımacılıgı ve teknolojik kompleksler,Rusça,324577 RUBLE,,,,,,,
Roket kompleksleri ve astronotik ,Rusça,376255 RUBLE,,,,,,,
Standardizasyon ve metroloji,Rusça,324577 RUBLE,,,,,,,
Teknik sistemlerde yönetim ,Rusça,324577 RUBLE,,,,,,,
Bilgi yoğun endüstrilerin org. Ve yönetimi,Rusça,324577 RUBLE,,,,,,,
Bilim yogun teknolojiler ve inovasyon eko,Rusça,324577 RUBLE,,,,,,,
Fikri mülkiyet yönetimi,Rusça,324577 RUBLE,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
NOVOSİBİRSK DEVLET ÜNİVERSİTESİ ,DİL ,ÜCRET,EK GİDERLER,YÜKSEK LİSANS ,DİL ,ÜCRET,DOKTORA ,DİL ,ÜCRET
,,,,,,,,,
Tıp ,İngilizce-Rusça ,6500$,Hazırlık İngilizce Paketi 6500$,Büyük veri analitiği ve yapay zeka ,İngilizce ,6500$,Astropartikül fizigi,İngilizce ,5500$
Afrika ve doğu çalışmaları,Rusça,4500$,Hazırlık Rusça Paketi 5250$,Petrol ve gaz yönetimi,İngilizce ,6501$,Biyoloji,Rusça,5500$
Uygulamalı matematik ve bilişim ,Rusça,4500$,YURT ÜCRETİ,Finans yönetim ,İngilizce ,6502$,Kimya ,Rusça,5500$
Biyoloji,Rusça,4500$,60$-100$,Klasikler ve felsefe ,İngilizce ,6503$,Bilgisayar bilimi ve mühendisliği,Rusça,5500$
İşletme enformatiği,Rusça,4500$,SİGORTA,Malzeme bilimi,İngilizce ,6504$,Bilgisayar bilimi ve bilgisayar bil.,Rusça,5500$
Kimya ,Rusça,4500$,SAĞLIK MUAYENESİ ,Farmasökit  kimya ,İngilizce ,6505$,Yer bilimi,Rusça,5500$
Bilgisayar bilimi ve mühendisliği,Rusça,4500$,,Fonksoniyel anatomi,İngilizce ,6506$,Ekonomi,Rusça,5500$
Ekonomi,Rusça,4500$,,Palebiota araş. Palebiyolojik ve stratik yön.,İngilizce ,6507$,Tarih ve arkeoloji,Rusça,5500$
Temel ve uygulamalı kimya(uzm. Derecesi),Rusça,4500$,,Temel ve uygulamalı yerbilimleri,Rusça ,3600$,Dil ve edebiyat çalışmaları,Rusça,5500$
Temel ve uygulamalı dilbilim ,Rusça,4500$,,Uygulamalı matematik ve bilişim ,Rusça ,3600$,Kitle iletişim. Araç. Ve kütüp. Ve bilgi bil.,Rusça,5500$
Jeoloji,Rusça,4500$,,Biyoloji,Rusça ,3600$,Matematik ve mekanik ,Rusça,5500$
Tarih ,Rusça,4500$,,Kimya ,Rusça ,3600$,Felsefe etik ve di bilimleri,Rusça,5500$
Gazetecilik,Rusça,4500$,,Bilgisayar bilimi ve mühendisliği ,Rusça ,3600$,Rus dili,Rusça,5500$
Hukuk,Rusça,4500$,,Ekonomi,Rusça ,3600$,Kimya ,Rusça,5500$
Dilbilim(yabancı diller),Rusça,4500$,,Jeoloji,Rusça ,3600$,Biyoloji,Rusça,5500$
Yönetim ,Rusça,4500$,,Tarih ,Rusça ,3600$,Matematik   ,Rusça,5500$
Matematik ,Rusça,4500$,,Bilgisayar işlemleri ve sistemleri ,Rusça ,3600$,Fizik,Rusça,5500$
Matematik ve bilgisayar bilimleri,Rusça,4500$,,Gazetecilik ,Rusça ,3600$,Ekonomiye giriş,Rusça,5500$
Mekanik ve matematiksel modelleme ,Rusça,4500$,,Hukuk,Rusça ,3600$,Sosyal çalışmalar ,Rusça,5500$
Filoloji,Rusça,4500$,,Yönetim ,Rusça ,3600$,Matematik,Rusça,5500$
Felsefe ,Rusça,4500$,,Matematik ,Rusça ,3600$,,,
Fizik ,Rusça,4500$,,Matematik ve bilisayar bilimleri,Rusça ,3600$,,,
Psikoloji,Rusça,4500$,,Mekanik ve matematiksel modelleme ,Rusça ,3600$,,,
Sosyoloji,Rusça,4500$,,Filoloji,Rusça ,3600$,,,
,,,,Felsefe ,Rusça ,3600$,,,
,,,,Fizik ,Rusça ,3600$,,,
,,,,Sosyoloji,Rusça ,3600$,,,
,,,,,,,,,
(RUDİN)HALKLARIN DOSTLUĞU ÜNİVERSİTESİ,DİL,ÜCRET,EK GİDERLER,YÜKSEK LİSANS ,DİL,ÜCRET,DOKTORA,DİL,ÜCRET
,,,,,,,,,
Tıp,Rusça/İngilizce ,9750$/11000$,HAZIRLIK ÜCRETİ 6100$,Ortopedik Diş Hekimliği (2 YIL),Rusça,8100$,Veterinerlik bilimi,Rusça,5450$
Diş Hekimliği,Rusça/İngilizce ,9450$/11000$,,Cerrahi Diş Hekimliği (2 YIL),Rusça,8100$,Klinik Psikoloji,Rusça,5550$
Eczacılık ,Rusça/İngilizce ,5700$/7800$,Yurt Ücreti: 400 – 500 USD/yıl,Biyoteknoloji (4 YIL),Rusça,6200$,Sağlık Psikolojisi,Rusça,5550$
Hukuk,Rusça/İngilizce ,5850$/6850$,SİGORTA,Biyokimya (4 YIL),Rusça,6200$,,,
Mimarlık,Rusça ,5450$,SAĞLIK MUAYENESİ ,Genel Tarih (3 YIL),Rusça,6100$,,,
Ekonomi,Rusça ,4900$,,Makine Mühendisliği ve Otomasyon (2 YIL),Rusça,5900$,,,
Biyomedikal ,Rusça ,5450$,,Modern Peyzaj Mimarisi ve Kentsel Tasarım (2 YIL),Rusça,5900$,,,
Veterinerlik ve Hijyenik Muayene ,Rusça ,5450$,,Peyzaj Mimarisi ve Tasarım (2 YIL),Rusça,5900$,,,
Gazetecilik,Rusça ,6300$,,Rus Dili (2 YIL),Rusça,5250$,,,
Bilgisayar ve Bilişim Bilimleri ,Rusça ,4850$,,Medya İletişim ve Gazetecilik (3 YIL),Rusça,6100$,,,
Makine Mühendisliği ,Rusça ,5450$,,Uluslararası Gazetecilik,Rusça,7900$,,,
Peyzaj Mimarlığı ,Rusça ,6200$,,Uluslararası ilişkiler (3 YIL),Rusça,6100$,,,
Tercümanlık ,Rusça ,6300$,,Uluslararası Yönetim (2 YIL),Rusça,5550$,,,
