HAYVAN BİYOLOJİSİ,750$,FARSÇA,,,,
BİTKİ BİYOLOJİSİ,750$,FARSÇA,,,,
OPTİK VE LAZER FİZİĞİ,750$,FARSÇA,,,,
TEORİK VE ASTRONOMİK FİZİK,750$,FARSÇA,,,,
PLAZMA FİZİĞİ VE TEKNOLOJİSİ,750$,FARSÇA,,,,
YOĞUN MADDE FİZİĞİ,750$,FARSÇA,,,,
NÜKLEER FİZİK,750$,FARSÇA,,,,
İLETİŞİM MÜHENDİSLİĞİ,850$,FARSÇA,,,,
KONTROL MÜHENDİSLİĞİ,850$,FARSÇA,,,,
ELEKTRONİK MÜHENDİSLİĞİ,850$,FARSÇA,,,,
GÜÇ MÜHENDİSLİĞİ,850$,FARSÇA,,,,
BT MÜHENDİSLİĞİ,850$,FARSÇA,,,,
BİLGİSAYAR MÜHENDİSLİĞİ,850$,FARSÇA,,,,
BİYOMEDİKAL MÜHENDİSLİĞİ,850$,FARSÇA,,,,
İNŞAAT MÜHENDİSLİĞİ,850$,FARSÇA,,,,
YAPISAL MÜHENDİSLİK,850$,FARSÇA,,,,
ZEMİN VE TEMEL MÜHENDİSLİK,850$,FARSÇA,,,,
SU VE ÇEVRE MÜHENDİSLİĞİ,850$,FARSÇA,,,,
HARİTA VE GEOMATİK MÜHENDİSLİĞİ,850$,FARSÇA,,,,
MİMARİ ,750$,FARSÇA,,,,
MAKİNE MÜHENDİSLİĞİ,850$,FARSÇA,,,,
ÜRETİM MÜHENDİSLİĞİ,850$,FARSÇA,,,,
MALZEME MÜHENDİSLİĞİ,850$,FARSÇA,,,,
ENDÜSTRİ MÜHENDİSLİĞİ,850$,FARSÇA,,,,
VETERİNER KLİNİK BİLİMLERİ,1625$,FARSÇA,,,,
TEMEL BİLİMLER,750$,FARSÇA,,,,
PATOLOJİ,750$,FARSÇA,,,,
GIDA HİJYENİ VE SU ÜRÜNLERİ,750$,FARSÇA,,,,
İNŞAAT MÜHENDİSLİĞİ,850$,FARSÇA,,,,
JEOMATİK MÜHENDİSLİĞİ,850$,FARSÇA,,,,
TEMEL BİLİMLER,750$,FARSÇA,,,,
PROSES MÜHENDİSLİĞİ,850$,FARSÇA,,,,
POLİMER MÜHENDİSLİĞİ,850$,FARSÇA,,,,
ÇEVRE MÜHENDİSLİĞİ,850$,FARSÇA,,,,
SOSYAL BİLİMLER,750$,FARSÇA,,,,
HUKUK,750$,FARSÇA,,,,
TARİH,750$,FARSÇA,,,,
SİYASET BİLİMLERİ,750$,FARSÇA,,,,
İLAHİYAT,750$,FARSÇA,,,,
ŞEHİT MEDENİZ ÜNİVERSİTESİ,,Tebriz'dedir.,,,,
,ÜCRETİ,,,,,
Elektrik Mühendisliği ,5000$,FARSÇA,,,,
İnşaat Mühendisliği ,5000$,FARSÇA,,,,
Makine Mühendisliği ,5000$,FARSÇA,,,,
Bilgisayar Mühendisliği ,5000$,FARSÇA,,,,
Kimya Mühendisliği ,5000$,FARSÇA,,,,
Endüstri Mühendisliği ,5000$,FARSÇA,,,,
Malzeme Mühendisliği ,5000$,FARSÇA,,,,
Petrol Mühendisliği ,5000$,FARSÇA,,,,
Maden Mühendisliği ,5000$,FARSÇA,,,,
Çevre Mühendisliği ,5000$,FARSÇA,,,,
Fizik ,5000$,FARSÇA,,,,
Kimya ,5000$,FARSÇA,,,,
Matematik ,5000$,FARSÇA,,,,
Biyoloji ,5000$,FARSÇA,,,,
İstatistik,5000$,FARSÇA,,,,
Jeoloji,5000$,FARSÇA,,,,
Coğrafya ,5000$,FARSÇA,,,,
Fars Dili ve Edebiyatı ,5000$,FARSÇA,,,,
İngiliz Dili ve Edebiyatı ,5000$,FARSÇA,,,,
Tarih,5000$,FARSÇA,,,,
Sosyoloji ,5000$,FARSÇA,,,,
Psikoloji ,5000$,FARSÇA,,,,
Eğitim Bilimleri ,5000$,FARSÇA,,,,
İşletme ,5000$,FARSÇA,,,,
Ekonomi ,5000$,FARSÇA,,,,
Kamu Yönetimi ,5000$,FARSÇA,,,,
Muhasebe,5000$,FARSÇA,,,,
Mimarlık,5000$,FARSÇA,,,,
Şehir ve Bölge Planlama,5000$,FARSÇA,,,,
Görsel Sanatlar ,5000$,FARSÇA,,,,
,,,,,,
TAHRAN TIP ÜNİVERSİTESİ,,,,,,
,ÜCRETİ,,,,,
Tıp (7 Yıl),5000$,FARSÇA,,,,
Diş Hekimliği (6 Yıl),5000$,FARSÇA,,,,
Eczacılık (5 Yıl),5000$,FARSÇA,,,,
Hemşirelik ,5000$,FARSÇA,,,,
Ebelik ,5000$,FARSÇA,,,,
Beslenme Bilimi ,5000$,FARSÇA,,,,
Sağlık Bilgi Teknolojisi ,5000$,FARSÇA,,,,
Fizyoterapi ,5000$,FARSÇA,,,,
Anestezi ,5000$,FARSÇA,,,,
Tıbbi Laboratuvar Bilimleri ,5000$,FARSÇA,,,,
,,,,,,
,,,,,,
İSFAHAN TIP ÜNİVERSİTESİ,,,,,,
,ÜCRETİ,EĞİTİM DİLİ,BARINMA,YILLIK,,
Tıp,4300$,İNGİLİZCE- FARSÇA,5 kişilik yurtler ,700 usd,,
Diş Hekimliği ,4300$,İNGİLİZCE- FARSÇA,4 kişilik yurtlar,900 usd,CWTS 805,DİPLOMA NOTU 80 ÜSTÜ OLAN 
Eczacılık,4300$,FARSÇA,3 kişilik yurtlar,1200 usd,TIMES 8001-1000,ÖĞRENCİLERE İLK YIL OKUL ÜCRETİNE BURS SİSTEMİ VARDIR.
,,,2 kişilik yurtlar,1750 usd,,
,,,tek kişilik yurtlar,3500 usd,,
