Felsefe,1.500 €,İngilizce,,Kimya,800 €,İngilizce
Amerikan Çalışmaları,4.000 €,İngilizce,,Gıda Sistemleri,18.000 €,İngilizce
Gazetecilik,3.000 €,İngilizce,,Data Bilimi ve Sistemleri,2.200 €,İngilizce
Uluslararası İlişkiler,3.000 €,İngilizce,,Sürdürülebilir Gelişme* İç Güvenlik,2.000 €,İngilizce
Felsefe,2.000 €,İngilizce,,İnsani Yardım Faaliyetleri,6.000 €,İngilizce
Kimya Mühendisliği,3.000 €,İngilizce,,İngilizce Öğretmenliği,2.500 €,İngilizce
Biyoloji,3.000 €,İngilizce,,Veri Bilimleri iş Analitiği,2.600 €,İngilizce
Coğrafya ve Bölgesel Çalışmalar,3.000 €,İngilizce,,Uluslararası Ekonomi Yönetim,4.200 €,İngilizce
Evrak Listesi tam Ulaşmalı,3.000 €,İngilizce,,Kültürlerarası İletişim,4.200 €,İngilizce
Bilişim ve Mekanik,3.000 €,İngilizce,,Uluslararası İşletme MBA,4.200 €,İngilizce
Matematik,3.000 €,İngilizce,,Çevre Yönetimi,4.200 €,İngilizce
VARŞOVA TEKNOLOJİ ÜNİVERSİTESİ ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,
İnşaat Mühendisliği,7.400 €,İngilizce,Akademik Yıl,Özel Mimari,8.300 €,İngilizce
Mimarlık,7.700 €,İngilizce,Hazırlık 3750€ İngilizce ,Şehir Mimarisi Planlama,9.300 €,İngilizce
Mekatronik*Fotonik Mühendisliği,5.200 €,İngilizce,Ev Kirası  200€*300€                                 ,İnşaat Yapı Mühendisliği,8.000 €,İngilizce
Elektrik Mühendisliği,4.600 €,İngilizce,Yurt 100€*150€,Elektrik Mühendisliği,5.600 €,İngilizce
Çevre Mühendisliği,4.200 €,İngilizce,,Biyoteknoloji,5.400 €,İngilizce
Elektrikli Hirbit Araçlar Mühendisliği,5.200 €,İngilizce,,Kimya Mühendisliği,4.500 €,İngilizce
Bilgisayar Bistemleri ve Ağları,7.800 €,İngilizce,,Çevre Mühendisliği ve Koruma,4.200 €,İngilizce
Telekomünikasyon ,7.800 €,İngilizce,,Mekatronik Sistemler,4.600 €,İngilizce
Bilişim Bilimi ve Sistemleri ,7.200 €,İngilizce,,Fotonik Robotik,10.000 €,İngilizce
Havacılık ve Uzay Mühendisliği,4.000 €,İngilizce,,Üretim Mühendisliği ve Yönetimi,3.700 €,İngilizce
Elektrik Mühendisliği (Güç Müh.Havacılık),4.000 €,İngilizce,,Telekomünikasyon ve Bilgisayar Bilimi,8.200 €,İngilizce
Ulaştırma Mühendisliği ve Yönetimi,4.000 €,İngilizce,,Bilgisayar Bilimi Sistemleri ve Yapay Zeka,8.600 €,İngilizce
Nükleer Enerji Mühendisliği, ,İngilizce,,Bilgisayar Veri Data Bilimi,8.000 €,İngilizce
Mekatronik Sistemler,5.000 €,İngilizce,,Bilgisayar Sistemleri ve Ağları,8.200 €,İngilizce
Jeoloji ve Haritacılık,3.000 €,İngilizce,,Jeoloji ve Haritacılık,3.000 €,İngilizce
Üretim Mühendisliği,3.700 €,İngilizce,,Malzeme Mühendisliği,3.700 €,İngilizce
Biyoteknoloji*Uygulamalı Biyoteknoloji,5.400 €,İngilizce,,Elektrik Mühendisliği,3.700 €,İngilizce
Kimya Mühendisliği,4.500 €,İngilizce,,Mobil Navigasyon Sistemleri,3.700 €,İngilizce
Yapay Zeka  ,5.400 €,İngilizce,,,,
Yazılım Mühendisliği,4.500 €,İngilizce,,,,
Robotık  Mekatronik Mühendisliği,4.000 €,İngilizce,,,,
VARŞOVA EKONOMİ VE İNSANİ BİLİMLER  ÜNİVERSİTESİ (VİZJA),ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Moda Tasarımı,4.000 €,İngilizce,Akademik Yıl,Klinik Psikoloji ve Psikoloji,2.700 €,İngilizce
Sürdürülebilir Moda Yönetimi,4.000 €,İngilizce,Hazırlık İngilizce 2950€,İşletme ve Psikoloji,2.700 €,İngilizce
Mobil Uygulama Tasarımı ,2.600 €,İngilizce,Hazırlık Lehçe 2500€,Yönetim Finansmanı,2.600 €,İngilizce
Yapay Zeka,2.600 €,İngilizce,Yurt 100€*150€,Pazarlama Yönetimi,2.800 €,İngilizce
Proje Yönetimi,2.600 €,İngilizce,Ev Kirası  200€*300€                                 ,Muhasebe Denetimi,2.700 €,İngilizce
Web Uygulamaları,2.600 €,İngilizce,,Yerel Yönetimler Maliyesi,2.600 €,İngilizce
Siber Güvenlik,3.100 €,İngilizce,,Uluslararası Finans,2.600 €,İngilizce
Uluslararası İlişkiler,2.400 €,İngilizce,,Uluslararası İlişkiler ve Güvenlik,2.600 €,İngilizce
Uluslararası Güvenlik,2.400 €,İngilizce,,Yönetim Psikolojisi,2.800 €,İngilizce
Diyetisyenlik,2.600 €,İngilizce,,Sosyal İletişim ve Halkla İlişkiler,2.800 €,İngilizce
Kozmetik Teknolojisi ve Güzellik Bilimi,2.400 €,İngilizce,,Diijital Ekonomi,2.800 €,İngilizce
İngiliz Dil Bilimi,2.400 €,İngilizce,,Uluslararası Lojistik,2.800 €,İngilizce
Kamu Alanda Bilgi Mühendisliği,2.500 €,İngilizce,,Bilgisayar Bilimi ,2.800 €,İngilizce
Finansal Yönetim,2.500 €,İngilizce,,Vergi ve Mali Danışmanlık,2.800 €,İngilizce
Uluslararası Finans ve Ticaret,2.500 €,İngilizce,,,,
Bankacılık ve Sigortacılık,2.500 €,İngilizce,,,,
Muhasebe ve Kontrol Denetimi ,2.500 €,İngilizce,,,,
Akıllı Şehirler ve Toplum,2.400 €,İngilizce,,,,
Uluslararası Lojistik,2.600 €,İngilizce,,,,
İnsan Kaynakları Yönetimi,2.600 €,İngilizce,,,,
Girişimcilik ve Pazarlama,2.600 €,İngilizce,,,,
Reklamcılık,2.600 €,İngilizce,,,,
Gazetecilik,2.400 €,İngilizce,,,,
Kamu Bilgi Mühendsiliği,2.400 €,İngilizce,,,,
Psikoloji,2.600 €,İngilizce,,,,
Avrupa Çalışmaları,2.400 €,İngilizce,,,,
Nöro*Pazarlama,2.600 €,İngilizce,,,,
Sosyal İletişim ve Halkla İlişkiler,2.400 €,İngilizce,,,,
VARŞOVA  YAŞAM BİLİMLERİ ÜNİVERSİTESİ (SGGW),ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Biyoteknoloji,2.300 €,İngilizce,Akademik Yıl,Bilişim ve Data Ekonometri,2.000 €,İngilizce
Gıda Teknolojileri Bilimi ve Beslenme Diyetisyenlik,2.000 €,İngilizce,Hazırlık 3200€,Finans ve Muhasebe,2.000 €,İngilizce
Organik Tarım ve Gıda Üretimi Ziraat,2.300 €,İngilizce,Ev Kirası  200€*300€                                 ,Çevre Koruma ve Restorasyonu Yönetimi,2.000 €,İngilizce
İşletme ve Yönetimi ,3.200 €,İngilizce,Yurt 100€*150€,Çevre Mühendisliği,2.000 €,İngilizce
Veterinerlik,8.500 €,İngilizce,,Bahçe Bitkileri Tarımı,2.000 €,İngilizce
Peyzaj Mimarlığı*Su Mühendislği İşletmeciliği,1.800 €,İngilizce,,İnşaat Alt Yapı Mühendisliği,2.000 €,İngilizce
VARŞOVA EKONOMİ ÜNİVERSİTESİ (SGH),ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Uluslararası Ekonomi,4.000 €,İngilizce,,Finans ve Muhasebe,5.100 €,İngilizce
Ekonomi Bilişimi Yöntemleri,4.000 €,İngilizce,Yurt 100€*150€,Uluslararası İlişkiler,4.000 €,İngilizce
Finans ve Yönetim,4.000 €,İngilizce,Ev Kirası  200€*300€                                 ,Finans ve Yönetim ,4.000 €,İngilizce
İşletme Yönetimi,4.000 €,İngilizce,,Uluslararası İşletme ,4.000 €,İngilizce
,,,,Bilgisayar Data Veri Analizi,4.000 €,İngilizce
,,,,İşletme MBA,5.100 €,İngilizce
,,,,Uluslararası Turizm Otelcilik Yönetimi ve Eğlence Hizmetleri,4.000 €,İngilizce
VARŞOVA POLONYA JAPON BİLGİ TEKNOLOJİLERİ AKADEMİSİ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,
Yeni Medya Sanatları,4.100 €,İngilizce,Yurt 100€*150€,Yeni Medya Sanatları,3.700 €,İngilizce
Bilgisayar Bilimi,4.100 €,İngilizce,Ev Kirası  200€*300€                                 ,Bilgisayar Bilimi,3.700 €,İngilizce
İşletme Yönetimi ,4.100 €,İngilizce,Okul Ücretlerinde Taksit Bulunmuyor,,,
İç Mimarlık,3.100 €,İngilizce,Okulu Hazırlıgı Bulunmuyor,,,
Japon Kültürü,1.900 €,İngilizce,B2 yaz kursu 2 aylık 60 saatlik düzenleniyor,,,
WARŞOVA KOZMİNSKİ  ÜNİVERSİTESİ ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Hukuk,6.500 €,İngilizce,IELTS 6.5 TOEFL 87,Bilgisayar Bilimi ve Data,6.500 €,İngilizce
Yapay Zeka ve Yönetim,6.500 €,İngilizce,İngilizce Mezun İse Diplomada belirtilmiş ise Skor aranmaz,İşletme Yönetimi,6.500 €,İngilizce
İşletme ve Yönetimi ,6.500 €,İngilizce,3 Yıl Lisans*2 Yıl Yükselisans,Finans ve Muhasebe,6.500 €,İngilizce
Finansal Yönetim,6.500 €,İngilizce,başvuru ücreti 350€,Yönetim İngilizcesi,6.500 €,İngilizce
,,,Ev Kirası  200€*300€                                 ,İşletme MBA,6.500 €,İngilizce
,,,Yurt 100€*150€,,,
WARŞOVA ŞEHİR KOLEJİ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Dijital Pazarlama,2.800 €,İngilizce,Hazırlık Eğitimi Verilmiyor,Uluslararası Güvenlik Çalışmaları,3.000 €,İngilizce
İşletme,2.800 €,İngilizce,,Uluslararası İşletme,3.000 €,İngilizce
Uluslararası İşletme Yönetimi,2.800 €,İngilizce,185€ Başvuru ve Kabul ücreti,Uluslararası  Müzakere Yönetimi ,3.000 €,İngilizce
Gazetecilik,2.800 €,İngilizce,Ev Kirası  200€*300€                                 ,Uluslararası İlişkiler,3.000 €,İngilizce
Yeni Medya Sanatları,2.800 €,İngilizce,Yurt 100€*150€,Sosyal Medya Yönetimi,3.000 €,İngilizce
Uluslararası Pazarlama,2.800 €,İngilizce,,Dijital Pazarlama,3.000 €,İngilizce
Uluslararası İlişkiler,2.800 €,İngilizce,,Uluslararası Barış Çalışmaları,4.500 €,İngilizce
Multimedya ve İşletişim,2.800 €,İngilizce,,Sosyoloji,3.000 €,İngilizce
Halkla İlişkiler ,2.800 €,İngilizce,,Cezai Adalet,3.000 €,İngilizce
Sosyoloji,2.800 €,İngilizce,,,,
Uluslararası Diplomasi ve Müzakereler,2.800 €,İngilizce,,,,
WARŞOVA KOZMİNSKİ  ÜNİVERSİTESİ ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
İngiliz Dili Öğretmenliği,3.950 €,İngilizce,,İngiliz Dili Öğretmenliği,3.950 €,İngilizce
Ceviri,3.950 €,İngilizce,Hazırlık 3000€,İngilizce Çeviri,3.950 €,İngilizce
Uluslararası İşletme,3.950 €,İngilizce,B1 ile Eğitime 1. sınıfa başlanabilir,Uluslararası İşletme,3.950 €,İngilizce
Yönetimde İletişim,3.950 €,İngilizce,Başvuru Ücreti kayıt 185€,Yönetimde İletişim,3.950 €,İngilizce
Yönetim ve Yapay Zeka,5.500 €,İngilizce,Ev Kirası  200€*300€                                 ,Büyük Veri Bilimleri,3.950 €,İngilizce
Finansal İşletme İşletme Yönetimi Çift Diploma,5.500 €,İngilizce,Yurt 100€*150€,Finans ve Muhasebe,3.950 €,İngilizce
WARŞOVA TIP ÜNİVERSİTESİ ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
tıp,13.700 €,İngilizce,Sağlık Hazırlık 6000€,Klinik Psikoloji,4.400 €,İngilizce
diş hekimliği,16.000 €,İngilizce,Genel Hazırlık 4500€,,,
Eczacılık,5.700 €,İngilizce,Ev Kirası  200€*300€                                 ,,,
Hemşirelik,5.000 €,İngilizce,Yurt 100€*150€,,,
Halk Sağlığı,8.950 €,İngilizce,,,,
Ebelik,5.000 €,İngilizce,,,,
Diyetisyenlik,5.000 €,İngilizce,,,,
Acil Tıbbi Yardım,5.000 €,İngilizce,,,,
Diş Teknik,5.000 €,İngilizce,,,,
Diş Hijyen,5.000 €,İngilizce,,,,
Klinik Genel Konuşma Terapisi (Odyoloji),5.000 €,İngilizce,,,,
WARŞOVA FİLM AKADEMİSİ,ÜCRET ,DİL ,,,,
Sinematografi ,5.500 €,İngilizce,,,,
Prodüksiyon,5.500 €,İngilizce,Yurt 100€*150€,,,
Film Yönetmenliği,5.500 €,İngilizce,Ev Kirası  200€*300€                                 ,,,
VARŞOVA BİLGİ TEKNOLOJİLERİ VE YÖNETİM ÜNİVERSİTESİ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Diyetistenlik,4.500 €,İngilizce,,Siber Güvenlik,5.000 €,İngilizce
Hemşirelik,4.500 €,İngilizce,,Lojistik Yonetimi,5.000 €,İngilizce
Grafik Tasarım,4.500 €,İngilizce,Yurt 100€*150€,,,
Oyun Tasarımı ve Geliştirme,4.500 €,İngilizce,Ev Kirası  200€*300€                                 ,,,
Multimedya ve İşletişim,4.500 €,İngilizce,,,,
Bilgisayar Ağları ve  Programlama ,4.000 €,İngilizce,,,,
Havacılım Yönetimi,4.000 €,İngilizce,,,,
Lojistik Mühendisliği,4.000 €,İngilizce,,,,
Uluslararası Taşımacılık Mühendisliği,4.000 €,İngilizce,,,,
Uluslararası Finans ve Muhasebe,4.000 €,İngilizce,,,,
VARŞOVA FİLM AKADEMİSİ,,,,,,
Film Yönetmenliği ve Video Oyunları,4.500 €,İngilizce,,,,
Sanat ve Medya Çalışmaları,4.500 €,İngilizce,,,,
VARŞOVA  LAZARSKİ ÜNİVERSİTESİ ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Havacılık Hukuku ve Pilotluk,1.Yıl 28800€ ,İngilizce,HAZIRLIK İNGİLİZCE 3000€ ,,,
,2. Yıl 30800€ ,,HAZIRLIK LEHÇE 1800 €  14 HAFTA,,,
,3. Yıl 32800€ ,,günlük 4 saat  veriliyor ,,,
,,,Başvuru ücreti120€,,,
Tıp 3650* 1900 hazırlık,35000PLN*36000PLN *37000PLN*39000PLN*41000PLN*43000PLN ,,Yurt 90€* 120€,,,
Hemşirelik  3 Yıl,3720PLN*3920PLN*4200PLN,,Ev Kirası  200€*300€                                 ,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
KRAKOV TEKNOLOJİ (pk)ÜNİVERSİTESİ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
İnşaat Mühendisliği,3.000 €,İngilizce,Hazırlık 4000€,Mimarlık,5.000 €,İngilizce
Mekanik ve Makine Tasarımı,3.500 €,İngilizce,,Peyzaj Mimarlığı,5.000 €,İngilizce
Mimarlık,5.000 €,İngilizce,Yurt 120€*160€,Enerji Mühendisliği,3.300 €,İngilizce
,,,,Cevre Mühendisliği,3.300 €,İngilizce
,,,Ev Kirası  200€*300€                                 ,Arazi  Ölçüm Mühendisliği,3.300 €,İngilizce
,,,,Uygulamalı Fizik,3.000 €,İngilizce
,,,,İnşaat Mühendisliği,3.000 €,İngilizce
,,,,Kimya Teknolojileri,3.000 €,İngilizce
,,,,Bilgisayar Bilimleri,3.000 €,İngilizce
,,,,Mekanik ve Makine Mühendisliği,3.500 €,İngilizce
KRAKOV EKONOMİ ÜNİVERSİTESİ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Kurumsal Finasman,3.000 €,İngilizce,Hazılık 4250€,Uluslararası Finans ve Muhasebe,3.000 €,İngilizce
Uluslararası İşletme,3.000 €,İngilizce,,Kurumsal Finansman,3.000 €,İngilizce
Modern İşletme Yönetimi,3.000 €,İngilizce,Ev Kirası  200€*300€                                 ,Uluslararası İşletme,3.000 €,İngilizce
Uygulamalı İnformatik,3.000 €,İngilizce,Yurt 120€*160€,Kamu Yönetimi  ve Ekonomi,4.350 €,İngilizce
,,,,Modern Yönetimde Sayısal Metotlar,3.000 €,İngilizce
KRAKOV ÜNİVERSİTESİ(AGH),ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Mekatronik Mühendisliği,3.450 €,İngilizce,Hazırlık 4500€,Yapay Zeka ve Data Analizi,4.200 €,İngilizce
Telekomünikasyon ,3.500 €,İngilizce,,Mekatronik Mühendisliği,4.200 €,İngilizce
Bilgisayar Bilimleri,4.000 €,İngilizce,Yurt 120€*160€,Kimya Mühendisliği,4.400 €,İngilizce
Elektrik Mühendisliği,3.500 €,İngilizce,,Uygulamalı Jeoloji,3.500 €,İngilizce
,,,,Uygulamalı Jeofizik,3.500 €,İngilizce
,,,,Enerji Mühendisliği,4.400 €,İngilizce
,,,,Çevre Mühendisliği,4.400 €,İngilizce
,,,,Sürdürülebilir Enerji Sistemleri,4.400 €,İngilizce
,,,,Modern Yakıt Teknolojileri,4.400 €,İngilizce
,,,,Teknoloji ve Sosyal Toplum,3.000 €,İngilizce
,,,,Uygulamalı Modern Malzeme Tasarımı,4.000 €,İngilizce
,,,,Proses Mühendislği,4.000 €,İngilizce
,,,,Malzeme Mühendisliği,4.400 €,İngilizce
,,,,Robotik Siber Sistemler,4.200 €,İngilizce
,,,,Maden Mühendisliği,3.000 €,İngilizce
,,,,Akıllı Şebeke Teknolojileri,4.200 €,İngilizce
KRAKOV JAGİELLONİAN ÜNİVERSİTESİ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
,4.250 €,,,,,
Hukuk,14.500 €,İngilizce,Hazırlık 3750€,Moleküler Biyoloji,4.000 €,İngilizce
Diş Hekimliği,12.000 €,İngilizce,Ev Kirası  200€*300€                                 ,Ekoloji ve Evrim ,2.200 €,İngilizce
Fizik Tedavi,5.000 €,İngilizce,Yurt 120€*160€,Çevre Koruma ve Yönetimi,3.350 €,İngilizce
Acil Tıbbi Yardım,5.000 €,İngilizce,,İlaç Yapımı ve Keşifler,5.600 €,İngilizce
Biyoteknoloji,1.100 €,İngilizce,,Avrupa Çalışmaları,4.250 €,İngilizce
Matematik,1.500 €,İngilizce,,Fikri Mülkiyet Çalışmaları,5.000 €,İngilizce
İş İdaresi,1.600 €,İngilizce,,Karşılaştırmalı Miras Çalışmaları,3.500 €,İngilizce
Uluslararası İlişkiler ve Alan Çalışmaları,4.000 €,İngilizce,,Uluslararası ilişkiler ve Kamu Diplomasisi,4.000 €,İngilizce
Avrupa Çalışmaları,4.000 €,İngilizce,,Transatlantik Çalışmaları,3.000 €,İngilizce
Küresel Çalışmalar,3.800 €,İngilizce,,Uluslararası Güvenlik Çalışmaları ve Kalkınma,4.000 €,İngilizce
Gazetecilik,1.500 €,İngilizce,,Nano Teknoloji ve İleri Malzeme Mühendisliği,3.800 €,İngilizce
Ekonomi,2.200 €,İngilizce,,Avrupa Hukuku,4.250 €,İngilizce
Sosyoloji,1.500 €,İngilizce,,Siyaset Bilimi*Ciftte Diploma,4.250 €,İngilizce
BitoTeknoloji* Moleküler Biyoloji ,4.000 €,İngilizce,,,,
Bilgisayar Bilimleri,1.500 €,İngilizce,,,,
Psikoloji,4.500 €,İngilizce,,,,
Pedagoji,1.500 €,İngilizce,,,,
Astroloji,1.600 €,İngilizce,,,,
Cografya,1.500 €,İngilizce,,,,
Sanat Tarihi,2.000 €,İngilizce,,,,
Siyaset Bilimi,1.600 €,İngilizce,,,,
Biyoloji,1.500 €,İngilizce,,,,
Kimya Teknolojileri,2.000 €,İngilizce,,,,
Özel Eğitim,1.000 €,İngilizce,,,,
Felsefe,2.000 €,İngilizce,,,,
Amerikan Kültürü ve Edebiyatı,1.600 €,İngilizce,,,,
Jeoloji ,1.500 €,İngilizce,,,,
Biyofizik,1.500 €,İngilizce,,,,
Etnoloji,1.500 €,İngilizce,,,,
Nero Psikoloji,1.500 €,İngilizce,,,,
KRAKOV  ANDRZEJ FRYCZ MODRZEWSKİ ÜNİVERSİTESİ  ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Film Yönetmenliği,1.650 €,İngilizce,,,,
TV Yapımcılığı,1.650 €,İngilizce,,,,
Set ve Kat Yoneticiliği,1.650 €,İngilizce,,,,
Senarist Senaryo Süpervizoru ,1.650 €,İngilizce,,,,
Etkünlik Şov Yapımcılığı,1.650 €,İngilizce,,,,
WROCLAV TIP ÜNİVERSİTESİ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Tıp ,11.700 €,İngilizce,Hazırlık 4000€,,,
Diş Hekimliği,12.700 €,İngilizce,Ev Kirası  200€*300€                                 ,,,
WROCLAV  BİLİM VE POLİTEKNOLOJİ ÜNİVERSİTESİ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Yazilim Mühendisliği,3.000 €,İngilizce,Hazırlık 3300€,Enerji Mühendisliği,4.000 €,İngilizce
Makine Mühendisliği,3.000 €,İngilizce,1Dönem Yogun Hazırlık 1650€,İnşaat Mühendisliği,4.000 €,İngilizce
Bilgisayar Makine Mühendisliğ,3.000 €,İngilizce,Lehçe 2000€,Elektronik Mühendisliği,4.000 €,İngilizce
Organisazyon Yönetimi(Bilgisayarlı ve Yönetimi),3.000 €,İngilizce,Ev Kirası  200€*300€                                 ,Maden  Mühendisliği,4.000 €,İngilizce
Uygulamalı Bilgisayar Bilimleri,3.000 €,İngilizce,Yurt 120€*160€,Jeoloji Mühendisliği,4.000 €,İngilizce
Bilgisayar Mühendisliği,4.000 €,İngilizce,,Makine Mühendisliği,4.000 €,İngilizce
Kimya Mühendisliği,3.000 €,İngilizce,,İşletme Yönetimi,4.000 €,İngilizce
İşletme Yönetimi,3.000 €,İngilizce,,Elektrik Mühendisliği,4.000 €,İngilizce
İngiliz Dili ve Edebiyatı,3.000 €,İngilizce,,Bilgisayar Bilimi,4.000 €,İngilizce
Arkeoloji,3.000 €,İngilizce,,Kimya ve Proses Mühendisliği,4.000 €,İngilizce
,,,,Biyoteknoloji,4.000 €,İngilizce
,,,,Mekansal Mimarlık,4.000 €,İngilizce
,,,,Mimarlık,4.000 €,İngilizce
,,,,Tıbbi Kimya,4.000 €,İngilizce
,,,,Yenilenebilir Enerji Mühendisliği,4.000 €,İngilizce
,,,,Modern İletişim,4.000 €,İngilizce
,,,,İnternet Mühendisliği,4.000 €,İngilizce
,,,,Çevre Mühendisliği,4.000 €,İngilizce
WROCLAW ÜNİVERSİTESİ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
Biyoteknoloji ,3.000 €,,Hazırlık 4000€,Kimya,3.000 €,İngilizce
Kimya ,3.000 €,,,Uluslararası İlişkiler ,3.000 €,İngilizce
Uluslararası İlişkiler ,3.000 €,,Ev Kirası  200€*300€                                 ,Siyasal Bilimler,3.000 €,İngilizce
Siyasal Bilimler(Karşılaştırmalı Siyaset ),3.000 €,,Yurt 120€*160€,Avrupa Çalışmaları ,3.000 €,İngilizce
Avruoa Kültürü,3.000 €,,,Gazetecilik ve Sosyal İletişim,3.000 €,İngilizce
İngiliz Dili ve Edebiyatı,3.000 €,,,Turizm,3.000 €,İngilizce
Arkeoloji,3.000 €,,,Uluslararası Örgütlerde Yönetim,3.000 €,İngilizce
İşletme Yönetimi,3.000 €,,,Kültürel İletişim,3.000 €,İngilizce
,,,,İngiliz Filolojisi,3.000 €,İngilizce
,,,,Reklamcılık,3.000 €,İngilizce
,,,,Halkla İlişkiler,3.000 €,İngilizce
,,,,Marka Çalışmaları,3.000 €,İngilizce
