 GÜRCİSTAN,,,,,,,,,
,,,,,,,,,
-Kayıt Masrafları ve Rehberlik 1250$ ,,,,,,,,,
-ÇEVİRİ İŞLEMLERİNİ ÖĞRENCİ ÜLKEYE GİTTİĞİNDE ÜCRETİ TEMSİLCİYE TESLİM EDER.,,,,,,,,,
- Belge Çeviri Bakanlık 400$ ,,,,,,,,,
-VİZESİZ BİR ÜLKEDEDİR. OKUL BAŞLADIKTAN SONRA ÖĞRENCİ OTURUMU YAPILIR.,,,,,,,,,
-BÜTÜN HAZIRLIKLAR ULUSLARARASI KAFKASTA ALINIR. DÖNEMLİK 300USD ,,,,,,,,,
-GÜRCÜCE HAZIRIK HER SENE AÇILMAZ KAYIT ALMADAN ÖNCE TEMSİLCİYE SORULMASI GEREKİYOR.,,,,,,,,,
,,,,,,,,,
İLİA ÜNİVERSİTESİ,ÜCRET,DİL,EK GİDERLER,YÜKSEK LİSANS ,ÜCRET,DİL,DOKTORA*UZMANLIK,,
İşletme,3000$,Gürcüce,,,,,,,
Pazarlama,3000$,Gürcüce,,,,,,,
Muhasebe,3000$,Gürcüce,,,,,,,
Denetim,3000$,Gürcüce,,,,,,,
 Yönetim,3000$,Gürcüce,,,,,,,
İngiliz Dili ve edebiyatı ,3000$,Gürcüce,,,,,,,
Mimarlık ve tasarım ,4000$,Gürcüce,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GÜRCİSTAN TARIM ÜNİVERSİTESİ,ÜCRET,DİL ,EK GİDERLER,YÜKSEK LİSANS ,DİL,UCRET,,,
Ziraat Mühendisliği,1200$,Gürcüce,,Doğa Bilimleri,Gürcüce,,,,
Veterinerlik,1200$,Gürcüce,,İnşaat Mühendisliği,Gürcüce,,,,
Aşcılık SERTIFİKASI (İNG),Programın maliyeti 5.500 GEL'dir. Çalışmaların başlamasından önce - 2. aşamada 2.000 GEL - 3. aşamada 2.000 GEL - 1.500 GEL.,,,Veterinerlikte Entegre  Çalışmaları,Gürcüce,,,,
Pastacılık SERTIFİKASI(İNG),Programın maliyeti 4.800 GEL'dir. Çalışmaların başlamasından önce - 2. aşamada 2.000 GEL - 3. aşamada 2.000 GEL - 800 GEL,,,Gıda Teknolojisi,Gürcüce,,,,
Restoran Yönetimi SERTIFİKASI(İNG),"Programın maliyeti 5.200 GEL'dir. Çalışmaların başlamasından önce - 2.200 GEL, Aralık - 2.000 GEL, Mart - 1.000 GEL.",,,Ormancılık İşi,Gürcüce,,,,
Biyoloji,1200$,Gürcüce,,Tarım Bilimleri,Gürcüce,,,,
Gıda Teknolojileri,1200$,Gürcüce,,,,,,,
Tarım Bilimleri ,1200$,Gürcüce,,,,,,,
Bağcılık ve Şarapcılık,1200$,Gürcüce,,,,,,,
Elektrik ve Bilgisayar Mühendisliği,1200$,Gürcüce,,,,,,,
Makine Mühendisliği,1200$,Gürcüce,,,,,,,
İnşaat Mühendisliği,1200$,Gürcüce,,,,,,,
Park ve Ormancılık,1200$,Gürcüce,,,,,,,
Peyzaj  Yönetimi,1200$,Gürcüce,,,,,,,
Otomasyon ve Kontrol Mühendisliği,1200$,Gürcüce,,,,,,,
Liberal Sanatlar 3 Boyutlu ,1200$,Gürcüce,,,,,,,
BATUM DEVLET DENİZCİLİK AKADEMİSİ (Özel),ÜCRET,DİL ,EK GİDERLER,YÜKSEK LİSANS ,,,,,
Kaptanlık(Deniz Seyrüsefer),5000$,İngilizce  ,Kayıt Masrafları ve Rehberlik 1000€,Deniz Ulaştırma Lojistiği ve Nakliye,,,,,
Deniz Elektrik Mühendisliği,5000$,İngilizce  ,Evrak İşlemleri Onaya Hazırlanması 275$,Deniz Turizm İşletmeciliği,,,,,
Deniz Mühendisliği,5000$,İngilizce  ,Bakanlık ve Okul Kayıt Harcı,Uluslararası Sularda İş Yönetimi,,,,,
Limanlar ve Taşıma Terminalleri İşletmesi,5000$,İngilizce  ,Onayın ve İkamet bildirimi,Gemi Güç Elektrik Sistem Mühendisliği ve Tesisleri,,,,,
Deniz İşletme Yönetimi,5000$,İngilizce  ,Bireysel Seyahat Giderleri,Liman Yönetimi,,,,,
Deniz Ekonomi ve Ulaştırma Ekonomisi,5000$,İngilizce  ,Yurtdışı Çıkış Pulu 150 TL,,,,,,
Deniz Kurvaziyer Turizm İşletmeciliği,5000$,İngilizce  ,Konaklama Giderleri,,,,,,
Limanlar ve Taşıma Terminalleri İşletmesi,5000$,İngilizce  ,Seyahat Sigortası ,,,,,,
,,,Teminat 2000$ ,,,,,,
,,,Yeme ve İçme (Market),,,,,,
,,,YarıTatilde*(YılSonu Vize Alınacak),,,,,,
,,,Vize 60$*Oturum İzni 120$,,,,,,
,,,Taahütname vize oturum izni içindir İlkyıl İstenmez,,,,,,
,,,Konsolosluklar,,,,,,
,,,İstanbul*Ankara*İzmir*Trabzon,,,,,,
,,,KONAKLAMA ,,,,,,
,,,Gunlük Otel 40$,,,,,,
,,,Ev Kirası 300$*600$,,,,,,
,,,İsim Soyad Değişikliği Belgesi,,,,,,
BATUM ÜNİVERSİTESİ,ÜCRET,DİL,HAZIRLIK EĞİTİMİ YOKTUR,EK GİDERLER,YÜKSEKLİSANS,DOKTORA ,,,
Tıp,5500$ ,İngilizce,6 Yıl,YAN DAL LİSANS ,Klinik Psikoloji,Eğitim Bilimleri,,,
Diş Hekimliği,5000$ ,Gürcüce ,4 Yıl,Bilgisayar Bilimi,Hukuk,Fizik,,,
Eczacılık,4500$ ,Gürcüce,4 Yıl,Matematik,Turizm İşletmeciliği,,,,
Fizik Tedavi ,4500$ ,İngilizce,4 Yıl,Fizik,ilköğretim Öğretmenliği,,,,
Hukuk ,1000$,Gürcüce,4 Yıl,Kayıt Masrafları ve Rehberlik 1000€,,,,,
Kamu Yönetimi,1000$,Gürcüce,4 Yıl,Evrak İşlemleri Onaya Hazırlanması 275$,,,,,
Uluslararası İlişkiler,1000$,Gürcüce,4 Yıl,Bakanlık ve Okul Kayıt Harcı,,,,,
Avrupa Çalışmaları,1000$,Gürcüce,4 Yıl,Onayın ve İkamet bildirimi,,,,,
Psikoloji,1000$,Gürcüce,4 Yıl,Bireysel Seyahat Giderleri,,,,,
Turizm ve Otel  İşletmeciliği,1000$,Gürcüce,4 Yıl,Yurtdışı Çıkış Pulu 150 TL,,,,,
Turizm,1000$,Gürcüce,4 Yıl,Konaklama Giderleri,,,,,
Şarkiyat Doğu Araştırmaları,1000$,Gürcüce,4 Yıl,Seyahat Sigortası ,,,,,
Felsefe,1000$,Gürcüce,4 Yıl,Teminat 2000$ ,,,,,
Tarih,1000$,Gürcüce,4 Yıl,Yeme ve İçme (Market),,,,,
Arkeoloji,1000$,Gürcüce,4 Yıl,YarıTatilde*(YılSonu Vize Alınacak),,,,,
Etnoloji,1000$,Gürcüce,4 Yıl,Vize 60$*Oturum İzni 120$,,,,,
Kimya,1000$,Gürcüce,4 Yıl,Taahütname vize oturum izni içindir İlkyıl İstenmez,,,,,
Biyoloji,1000$,Gürcüce,4 Yıl,Konsolosluklar,,,,,
Coğrafya,1000$,Gürcüce,4 Yıl,İstanbul*Ankara*İzmir*Trabzon,,,,,
Fizik,1000$,Gürcüce,4 Yıl,KONAKLAMA ,,,,,
Bilgisayar Bilimi,1000$,Gürcüce,4 Yıl,Gunlük Otel 40$,,,,,
Matematik,1000$,Gürcüce,4 Yıl,Ev Kirası 300$*600$,,,,,
Pedagoji,1000$,Gürcüce,4 Yıl,İsim Soyad Değişikliği Belgesi,,,,,
Almanca*İngilizce*Fransızca*Rusça Dilleri,1000$,Gürcüce,4 Yıl,,,,,,
PETRE SHOTADZE TIFLİS TIP AKADEMİSİ ,,,,,,,,,
Tıp,6000$,İngilizce,6 Yıl,,,,,,
