Turizm,3.300 €,Bulgarca,,RadyoKimya ve RadyoEkoloji,3.850 €,İngilizce ,,,
Bölgesel Kalkınma ve Politika,3.300 €,Bulgarca,,Kimyada Çağdaş Sentez Yöntemleri ,3.850 €,İngilizce ,,,
Jeo*Uzaysal Sistemler ve Teknolojiler,3.300 €,Bulgarca,,Kimyada Organik Bileşiklerin Analizi,3.850 €,İngilizce ,,,
Kimya ,3.300 €,Bulgarca,,Moleküler Agrobiyoteknoloji,2.700 €,İngilizce ,,,
Kimya ve Fizik,3.300 €,Bulgarca,,Gıda Kalitesi Güvenliği,2.700 €,İngilizce ,,,
Kimya Mühendisliği,3.300 €,Bulgarca,,Organik Tarım ve Biyokontrol,2.700 €,İngilizce ,,,
Nukleer Kimya,3.300 €,Bulgarca,,Moleküler Biyoloji İle Genetik ve Genomik,2.700 €,İngilizce ,,,
Bilgisayar Kimyası,3.300 €,Bulgarca,,BiyoFizik,2.700 €,İngilizce ,,,
EKO Kimya,3.300 €,Bulgarca,,BiyoKimya,2.700 €,İngilizce ,,,
Kimya ve Bilişim,3.300 €,Bulgarca,,Uygulamalı Ekonomik Jeoloji,3.850 €,İngilizce ,,,
Matematik,3.300 €,Bulgarca,,Mekatronik ve Robotik,3.850 €,İngilizce ,,,
İstatistik,3.300 €,Bulgarca,,Matematikte Mantik ve Algoritmalar,3.850 €,İngilizce ,,,
Bilişim,3.300 €,Bulgarca,,Müzik Medya Teknolojileri ,3.300 €,İngilizce ,,,
Bilgisayar Bilimleri ,3.300 €,Bulgarca,,Ses Mühendisliği,3.300 €,İngilizce ,,,
yazılım Mühendisliği,3.300 €,Bulgarca,,Görsel İşitsel Tasarım,3.300 €,İngilizce ,,,
Bilişim Sistemleri,3.300 €,Bulgarca,,,,,,,
Matematik ve Bilişim,3.300 €,Bulgarca,,,,,,,
Uygulamalı Matematik,3.300 €,Bulgarca,,,,,,,
Moleküler Biyoloji,2.700 €,Bulgarca,,,,,,,
BiyoTeknoloji,2.700 €,Bulgarca,,,,,,,
AgroBiyoTeknoloji,2.700 €,Bulgarca,,,,,,,
BiyoYönetim ve Sürdürülebilir Kalkınma,2.700 €,Bulgarca,,,,,,,
Biyoloji ,2.700 €,Bulgarca,,,,,,,
Ekoloji Ve Çevre Koruma Mühendisliği,2.700 €,Bulgarca,,,,,,,
Biyoloji ve İngiliz Dili,2.700 €,Bulgarca,,,,,,,
Biyoloji ve Kimya,2.700 €,Bulgarca,,,,,,,
Sosyal Hizmetler,3.300 €,Bulgarca,,,,,,,
Kamu Yönetiimi,3.300 €,Bulgarca,,,,,,,
Sosyoloji ,3.300 €,Bulgarca,,,,,,,
Siyasal Bilimler,3.300 €,Bulgarca,,,,,,,
Arkeoloji,3.300 €,Bulgarca,,,,,,,
Etnoloji ve Antropoloji,3.300 €,Bulgarca,,,,,,,
Kuantum ve Uzay Fiziği,3.300 €,Bulgarca,,,,,,,
Nukleer  Teknoloji ve Nükleer Güç Mühendisliği,3.300 €,Bulgarca,,,,,,,
Bilgisayar Mühendisliği ,3.300 €,Bulgarca,,,,,,,
Metroloji ve JeoFizik,3.300 €,Bulgarca,,,,,,,
Astroloji Fiziği,3.300 €,Bulgarca,,,,,,,
Haberleşme ve Fiziksel Elektronik,3.300 €,Bulgarca,,,,,,,
Doğa Bilimleri Öğretmenliği,3.300 €,Bulgarca,,,,,,,
Fizik Mühendisliği,3.300 €,Bulgarca,,,,,,,
AMERİKAN ÜNİVERSİTESİ,ÜCRET,YURT,,,,,,,
İşletme,11.900 €,50€-70€,,,,,,,
Bilgisayar Bilimleri,11.900 €,,,,,,,,
Tarih ve Medeniyetler,11.900 €,,,,,,,,
Gazetecilik ve Kitle İletişimi,11.900 €,,,,,,,,
Tiyatro ve Film Oyunculuğu ve Yönetmenliği,11.900 €,,,,,,,,
Matematik ve Bilimi(Yandal Fizik) ,11.900 €,,,,,,,,
Fizik(Yandal Matematik),11.900 €,,,,,,,,
Güzel Sanatlar(Yandallar Modern Diller-YandallarKültür),11.900 €,,,,,,,,
Siyaset Bilimleri(Yandal  Kamu Politikaları),11.900 €,,,,,,,,
Uluslararası İlişkiler (Yandal Kamu Politikaları),11.900 €,,,,,,,,
Avrupa Çalışmaları(Yandal Kamu Politikaları),11.900 €,,,,,,,,
Psikoloji (Yandal Felsefe-Yandal Din Psikolojisi),11.900 €,,,,,,,,
İşletme,11.900 €,,,,,,,,
Ekonomi,11.900 €,,,,,,,,
SOFYA YÜKSEK İNŞAAT VE MİMARLIK ÜNİVERSİTESİ,ÜCRET,DİL ,EK BİLGİLER,YUKSEKLİSANS*DOKTORA,,,,,
Mimarlık,4.400€,Bulgarca  ,Hazırlık İngilizce 4200€*Bulgarca 3400€,Mimarlık,,,,,
İnşaat Mühendisliği,4.400 €,İngilizce   ,YURT,İnşaat Mühendisliği,,,,,
Şehir Planlama,4.400 €,Bulgarca  ,50€-70€,Jeoloji,,,,,
Alt Yapı Mühendisliği,4.400 €,Bulgarca  ,İngilizce Yuksek lisans 5200 EURO Bulgarca 4400,,,,,,
Su Temini Ve Kanalizasyon (Hidroteknik),4.400 €,Bulgarca  ,İngilizce Doktora 5400 euro,,,,,,
Ulaştırma İnşaat Mühendisliği,4.400 €,Bulgarca  ,,,,,,,
Jeodezi Mühendisliği (Harita Mühendisliği),4.400 €,Bulgarca  ,,,,,,,
Hidrolik Mühendisliği,4.400 €,Bulgarca  ,,,,,,,
Ulaşım Proje Yönetimi Ve Teknolojisi,4.400 €,Bulgarca  ,,,,,,,
Su Temini Teknolojisi,4.400 €,Bulgarca  ,,,,,,,
İnşaatta Enerji Verimliliği,4.400 €,Bulgarca  ,,,,,,,
İnşaatta Yalıtım Teknolojisi,4.400 €,Bulgarca  ,,,,,,,
Gaz Teknolojisi Temini,4.400 €,Bulgarca  ,,,,,,,
Çevre,4.400 €,Bulgarca  ,,,,,,,
İnşaat Teknolojisi Yönetimi,4.400 €,Bulgarca  ,,,,,,,
Yapı Mühendisliği,4.400 €,Bulgarca  ,,,,,,,
Avrupa Alt Yapı Projeleri Yönetimi,4.400 €,Bulgarca  ,,,,,,,
Çevre Mühendisliği,4.400 €,Bulgarca  ,,,,,,,
Su Mühendisliği,4.400 €,Bulgarca  ,,,,,,,
 Jeodezi,4.400 €,Bulgarca  ,,,,,,,
Ulaştırma Mühendisliği,4.400 €,Bulgarca  ,,,,,,,
Kentsel Planlama,4.400 €,Bulgarca  ,,,,,,,
Peyzaj Mimarlığı,4.400 €,Bulgarca  ,,,, ,,,
SOFYA LÜBEN KARAVELOV İNŞAAT VE MİMARLIK ÜNİVERSİTESİ ,ÜCRET,DİL ,EK BİLGİLER,YUKSEK LİSANS 3000€,,,,,
Mimarlık 5.5 Yıl,4.500 €,Bulgarca  ,HAZIRLIK 3000€,Mimarlık ,,,,,
İnşaat Mühendisliği,4500€* 3500€,İngilizce*Bulgarca,,Bina İnşaatları Yatırım Projeleri Yönetimi,,,,,
Diş Cephe Isı Yalıtımı ve Tasarımı,4.500 €,Bulgarca  ,Yukseklisanslı mezun olunacak ise 5.5 yılda mezun olunuyor,İnşaat Teknolojileri Yönetimi,,,,,
Bina ve Tesis İnşaatı ve Yönetimi 5.5 Yıl,4.500 €,Bulgarca  ,,,,,,,
İnşaat Yangın ve Acil Durum Güvenliği,4.500 €,Bulgarca  ,,,,,,,
BULGARİSTAN YENİ ÜNİVERSİTESİ ,ÜCRET,DİL ,EK BİLGİLER,YUKSEKLİSANS ,ÜCRET,DİL ,,,
Psikoloji ,4.500 €,İngilizce,İngilizce Bulgarca*Fransızca Hazırlık 2700€,Marka Yönetimi ,2.700 €,İngilizce,,,
Felsefe ,2.700 €,İngilizce,,Kamu Yönetimi ,2.700 €,İngilizce,,,
Siyaset ve Toplum,2.700 €,İngilizce,,Uluslararası İktisadi İlişkiler ,2.700 €,İngilizce,,,
Uluslararası Siyaset ,2.700 €,İngilizce,,İnsan Kaynakları Yönetimi ve Gelişimi,2.700 €,İngilizce,,,
Network Teknolojileri ,2.700 €,İngilizce,,Stratejik Liderlik ,2.700 €,İngilizce,,,
İdare ve Yönetimde Uygulamalı Yabancı Diller ,2.700 €,İngilizce,,Bilişsel/Cognitive Bilimler ,2.700 €,İngilizce,,,
Bilgisayar Ağ Sistemleri,2.700 €,İngilizce,,Turizm Yönetimi ,2.700 €,İngilizce,,,
Siyaset Bilimi,2.700 €,Fransızca ,,Sürdürülebilir Kalkınma Ekonomisi ve Yönetimi ,2.700 €,İngilizce,,,
Otel ve Restoran Yönetimi ,2.700 €,Fransızca ,,Desktop ve Mobil Bilgisayarlar,2.700 €,İngilizce,,,
Müzik*Güzel Sanatlar*Sinema Televizyon*Arkeoloji,2.700 €,Bulgarca,,Doğu Avrupa Çalışmaları ,2.700 €,İngilizce,,,
Tercumanlık* Mimarlık*Tiyatro*Fotografcılık*Antropoloji,2.700 €,Bulgarca,,"Amerikan ve İngiliz Edebiyatı Çalışmaları, Karşılaştırmalı Yaklaşım ",2.700 €,İngilizce,,,
SOFYA ORMANCILIK ÜNİVERSİTESİ ,ÜCRET,DİL,YURT,YÜKSEK LİSANS ,ÜCRET,DİL ,,,
Veterinerlik,4500€-3500€,İngilizce-Bulgarca,50€-70€,Bahçeçilik,3.500 €,Bulgarca ,,,
Peyzaj Mimarlığı,3.500 €,Bulgarca ,HAZIRLIK 3500€,Bitkisel Üretim*Bitki Koruma,3.500 €,Bulgarca ,,,
Agronomi,3.500 €,Bulgarca ,,Arılar * Böçekler* Genetik* Hayvancılık,3.500 €,Bulgarca ,,,
Alternatif Turizm,3.500 €,Bulgarca ,,Ormancılık,3.500 €,Bulgarca ,,,
Ahşap Mobilya Teknolojisi,3.500 €,Bulgarca ,,Ormancılık Yönetimi,3.500 €,Bulgarca ,,,
İç Mobilya Tasarımı,3.500 €,Bulgarca ,,Bilgisayarlı İşletme Yönetimi,3.500 €,Bulgarca ,,,
Mobilya Endüstrisinde Bilgisayar Teknolojileri,3.500 €,Bulgarca ,,Tarım İşletmeciliği,3.500 €,Bulgarca ,,,
Orman  Mühendisliği ve İşletmesi,3.500 €,Bulgarca ,,Alternatif Turizm Kültür Bitkileri,3.500 €,Bulgarca ,,,
Ekoloji,3.500 €,Bulgarca ,,Tohum Üretimi,3.500 €,Bulgarca ,,,
Bitki Koruma,3.500 €,Bulgarca ,,İç Mobilya Tasarımı,3.500 €,Bulgarca ,,,
Ekoloji Ve Çevre Koruma Mühendisliği,3.500 €,Bulgarca ,,Ahşap Ve Mobilya,3.500 €,Bulgarca ,,,
,,,, Tarım,3.500 €,Bulgarca ,,,
SOFYA ULUSLARARASİ EKONOMİ ÜNİVERSİTESİ,ÜCRET,DİL ,EK BİLGİLER,YUKSEKLİSANS ,ÜCRET,DİL ,,,
 İşletme Ekonomisi ve Yönetiimi,3.800 €,İngilizce ,Hazırlık  Bulgarca 3000€ İngilizce 3300€,Ekonomi,4.000 €,Bulgarca,,,
İş Bilişimi ve Pazarlama İletişimi ,3.800 €,İngilizce ,,İdare ve Yönetim,4.000 €,Bulgarca,,,
Ekonomi,3.800 €,İngilizce ,YURT,Sosyoloji,4.000 €,Bulgarca,,,
Finans ve Muhasebe,3.800 €,İngilizce ,50€-70€,Antropoloji,4.000 €,Bulgarca,,,
Uluslararası Ekonomik İlişkiler,3.800 €,İngilizce ,,Kültürel Bilimler,4.000 €,Bulgarca,,,
Fikri Mülkiyet Ekonomisi,3.800 €,İngilizce ,,Siyaset Bilimi,4.000 €,Bulgarca,,,
Uluslararası Turizm,3.800 €,İngilizce ,,Halkla İlişkiler,4.000 €,Bulgarca,,,
Avrupa Siyaseti ve Ekonomisi,3.800 €,İngilizce,,Bilgi İletişim*Bilişim Bilimleri ,4.000 €,Bulgarca,,,
Uluslararası İlişkiler,3.800 €,İngilizce ,,Savunma ve Güvenlik Ekonomisi,5.000 €,İngilizce,,,
Siyaset Bilimi,3.800 €,İngilizce,,Nükleer Güvenlik,5.000 €,İngilizce,,,
Makroekonomi,3.000 €,Bulgarca  ,,Hukuk,4.000 €,Bulgarca,,,
Girişimcilik,3.000 €,Bulgarca  ,,,,,,,
İş Ekonomisi ,3.000 €,Bulgarca  ,,,,,,,
İnsan Kaynakları Ekonomiisi,3.000 €,Bulgarca  ,,,,,,,
Sigorta ve Sosyal İşler,3.000 €,Bulgarca  ,,,,,,,
Kamu Yönetimi,3.000 €,Bulgarca  ,,,,,,,
Hukuk,4.000 €,Bulgarca  ,,,,,,,
Gazetecilik,4.000 €,Bulgarca  ,,,,,,,
Medya ve İletişim,4.000 €,Bulgarca  ,,,,,,,
Lojistik Ekonomisi,3.000 €,Bulgarca  ,,,,,,,
Sanayi Ekonomisi,3.000 €,Bulgarca  ,,,,,,,
Ticaret Ekonomisi,3.000 €,Bulgarca  ,,,,,,,
Yapı ve İnşaat Ekonomisi,3.000 €,Bulgarca  ,,,,,,,
Endüstri Ekonomisi,3.000 €,Bulgarca  ,,,,,,,
İstatistik ve Ekonometri,3.000 €,Bulgarca  ,,,,,,,
Bankacılık ve Sigortacılık,3.000 €,Bulgarca  ,,,,,,,
Veri Bilimi ve Sibernetik  E*Devlet Güvenlik,3.000 €,Bulgarca  ,,,,,,,
Halkla İlişkiler,3.000 €,Bulgarca  ,,,,,,,
Sosyoloji,3.000 €,Bulgarca  ,,,,,,,
Tarım Ekonomisi,3.000 €,Bulgarca  ,,,,,,,
Savunma Ekonomisi,3.000 €,Bulgarca  ,,,,,,,
Turizm,3.000 €,Bulgarca  ,,,,,,,
SOFYA GUZEL SANATLAR AKADEMİSİ ,ÜCRET,DİL ,YURT,,,,,,
Restorasyon Sanatı,2.700 €,İngilizce  ,50€-70€,,,,,,
Kitap ve Matbaa Grafiği,2.700 €,İngilizce  ,Hazırlık 2700€,,,,,,
Sanat Grafiker Ressam,2.700 €,İngilizce  ,,,,,,,
Renkli Duvar Resmi Sanatı,2.700 €,İngilizce  ,,,,,,,
Heykeltıraş Ressamlık,2.700 €,İngilizce  ,,,,,,,
Poster Transparan,2.700 €,İngilizce  ,,,,,,,
Göz Komünikasyonu Sanatı,2.700 €,İngilizce  ,,,,,,,
Metal Sanatı,2.700 €,İngilizce  ,,,,,,,
Seramik Sanatı,2.700 €,İngilizce  ,,,,,,,
Stenografi Sanatı,2.700 €,İngilizce  ,,,,,,,
Oymacılık Sanatı,2.700 €,İngilizce  ,,,,,,,
Tekstil Sanatı,2.700 €,İngilizce  ,,,,,,,
Çocuk ve Çevre Dizaynı,2.700 €,İngilizce  ,,,,,,,
Moda ve Tasarım,2.700 €,İngilizce  ,,,,,,,
Reklam Dizaynı,2.700 €,İngilizce  ,,,,,,,
Porselen ve Cam Sanatı,2.700 €,İngilizce  ,,,,,,,
SOFYA FİNANS VE SİGORTACİLİK ÜNİVERSİTESİ,ÜCRET,DİL ,YURT,YÜKSEK LİSANS ,ÜCRET,DİL,,,
Finans,3.000 €,ingilizce,50€-70€,Finans,3.200 €,İngilizce ,,,
İşletme,3.000 €,ingilizce,Hazırlık 3000€,Emeklilik ve Sağlık Sigortası,3.200 €,İngilizce ,,,
Pazarlama,3.000 €,ingilizce,,Muhasebe ve Denetim,3.200 €,İngilizce ,,,
Bankacılık,3.000 €,Bulgarca  ,,Finans İşletme ve İŞ Hukuku,3.200 €,İngilizce ,,,
Sigortacılık,3.000 €,Bulgarca  ,,Finans İşletme ve Pazarlama,3.200 €,İngilizce ,,,
Sigorta Ve Finans,3.000 €,Bulgarca  ,,Elektronik İş Pazarlama ve Satışlar,3.200 €,İngilizce ,,,
Muhasebe Ve Finans,3.000 €,Bulgarca  ,,Aktüerya,3.200 €,İngilizce ,,,
Muhasebe Ve Denetim,3.000 €,Bulgarca  ,,Bankacılık,3.200 €,İngilizce ,,,
,,,,Finans İşletme ve Pazarlama,3.200 €,Bulgarca ,,,
,,,,Muhasebe ve Denetim,3.200 €,Bulgarca ,,,
,,,,Kurumsal Kontrol ve İktisadi Analizler,3.200 €,Bulgarca ,,,
,,,,Muhasebe ve Yönetim Analizleri,3.200 €,Bulgarca ,,,
,,,,İnsan Kaynakları Yönetimi ve Liderlik Davranışı,3.200 €,Bulgarca ,,,
