SIRBİSTAN,,,,,,,,,,,,,,,,,,,,,,,,,,
--DANIŞMANLIK VE HAZIRLIK PAKET : 4550€,,,,,,,,,,,,,,,,,,,,,,,,,,
"--ÖZELLİKLE ERKEK ÖĞRENCİLERDE  SINIRDA , YABANCILAR POLİSİNE KARŞI DAVRANIŞLARINA DİKKAT ETMELİLERDİR.",,,,,,,,,,,,,,,,,,,,,,,,,,
--VİZESİZ BİR ÜLKEDEDİR. OKUL BAŞLADIKTAN SONRA ÖĞRENCİ OTURUMU YAPILIR.,,,,,,,,,,,,,,,,,,,,,,,,,,
--OTURUM ALMAK İÇİN 1500€ TEMİNAT GÖSTERİLİYOR. 350-500 EURO ARASI OTURUM ÜCRETİ DEĞİŞİYOR.,,,,,,,,,,,,,,,,,,,,,,,,,,
--LİSE DENKLİKLERİ İÇİN ÖĞRENCİLER 100 EURO ÖDEYECEK.,,,,,,,,,,,,,,,,,,,,,,,,,,
"--YÖK'ÜN KARARINA UYGUN OLARAK TIP, DİŞ, ECZACILIK VE HUKUK OKUMAK İSTEYEN ÖĞRENCİLER İÇİN İLK BİN ÜNİVERSİTELERİ:",,,,,,,,,,,,,,,,,,,,,,,,,,
--BELGRAD ÜNİVERSİTESİ   QS 721-730     THE 801-1000  CWTS 199  ARWU 301-400,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
       BELGRAD DEVLET ÜNİVERSİTESİ   ,,DİL,,EK GİDERLER,YÜKSEK LİSANS 1*2 YIL 4000€,ÜCRET,,DOKTORA 3 YIL,ÜCRET,DİL,,,,,,,,,,,,,,,,ƒ
Metalurji Mühendisliği* Mühendislik Yönetimi,2.000 €,Sırpça,,,Biyoloji Öğretmenliği,4.500 €,Sırpça,BiyoKimya,10.000,Sırpça,,,,,,,,,,,,,,,,
Jeoloji Mühendisliği ,1.100 €,Sırpça,,,Ekoloji ve Çevre Öğretmenliği,4.500 €,Sırpça,BiyoTeknoloji,10.000,Sırpça,,,,,,,,,,,,,,,,
Ulaştırma Mühendisliği,1.700 €,Sırpça,,,BiyoKimya,4.500 €,Sırpça,İşletme Yönetimi,2.500,Sırpça,,,,,,,,,,,,,,,,
Trafik Mühendisliği,1.700 €,Sırpça,,,Çevre Kimyası,4.500 €,Sırpça,İşletme ve İstatistik,2.500,Sırpça,,,,,,,,,,,,,,,,
Biyoloji ,3.500 €,Sırpça,,,Kimya,3.000 €,Sırpça,İnşaat mühendisliği,4.000 €,Sırpça,,,,,,,,,,,,,,,,
Genetik Mühendisliği,3.500 €,Sırpça,,,İnşaat mühendisliği,4.200 €,Sırpça,Jeodezi*Geodezi,4.200 €,Sırpça,,,,,,,,,,,,,,,,
Moleküler Biyoloji,2.500 €,Sırpça,,,Binalarda Enerji verimliliği,2.400 €,Sırpça,,9.000 €,Sırpça,,,,,,,,,,,,,,,,
Elektrik Mühendisliği,1.800 €,Sırpça,,,Geodezi Geoınformatik,2.400 €,Sırpça,Eczacılık,9.000 €,Sırpça,,,,,,,,,,,,,,,,
Maden Mühendisliği*Mühendislik Teknolojisi,2.000 €,Sırpça,,,İnsaat Mühendisliği,2.400 €,Sırpça,Moleküler Genetik,9.000 €,Sırpça,,,,,,,,,,,,,,,,
Nukleer Enerji Mühendisliği,1.800 €,Sırpça,,,Kamu İhaleleri Yönetimi,7.200 €,Sırpça,,,,,,,,,,,,,,,,,,,
Coğrafya Bölümü ,2.500 €,Sırpça,,,Avrupa Entegrasyonu ,2.100 €,Sırpça,,,,,,,,,,,,,,,,,,,
Matematik Bölümü ,3.500 €,Sırpça,,,Hukuk,2.100 €,Sırpça,,,,,,,,,,,,,,,,,,,
AstroFizik*Fizik Bölümü,3500€*2650€,İngilizce*Sırpça,,,AstroFizik Uzay Bilimi ,12500,Sırpça,,,,,,,,,,,,,,,,,,,
Kimya Teknolojileri Mühendisliği,2.500 €,Sırpça,,,Tıbbi laboratuvar Teknolojisi,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,
Yönetim Ve Organizasyon,2.500 €,Sırpça,,,Tıp Hijyen,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,
Kimya Bölümü* BiyoKimya*Cevre Kimyası,2.500 €,Sırpça,,,Radyasyon Terapsti,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,
Ormancılık Mühendisliği,1.500 €,Sırpça,,,Halk Sağlığı,2900€*2500€,Sırpça,,,,,,,,,,,,,,,,,,,
Peyzaj Mimarlığı,1.500 €,Sırpça,,,FizyoTerapı,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,
Ahşap Teknolojileri,1.500 €,Sırpça,,,FizikTedavi ve SağlıkTerapi,2.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Jeofizik,2.650 €,Sırpça,,,Eczacılık,2.900 €,Sırpça,,,,,,,,,,,,,,,,,,,
Petrol ve Gaz Mühendisliği,1.800 €,Sırpça,,,Hemşirelik,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,
Meteoroloji,1.800 €,Sırpça,,,Sağlık Yönetimi,3.500 €,Sırpça,,,,,,,,,,,,,,,,,,,
"İktisat, işletme yönetimi ve istatistik* Analizi ve Politika",1.500 €,Sırpça,,,Biyoetik,1.660 €,Sırpça,,,,,,,,,,,,,,,,,,,
Ekonomi ,1.500 €,İngilizce,,,Anestezi,1.660 €,Sırpça,,,,,,,,,,,,,,,,,,,
Çevre Ekoloji Koruma*Ziraat Ekonomisi,2.500 €,Sırpça,,,Maden Mühendisliği,2.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
"Pazarlama*Muhasebe, denetim ve finansal yönetim",1.500 €,Sırpça,,,Metalurji Mühendisliği ,2.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Ticari işletmesi ve pazarlama ,1.500 €,Sırpça,,,Mühendislik Yönetimi,2.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
"Finans,bankacılık ve sigortacılık ",1.500 €,Sırpça,,,Mühendislik Teknolojisi,2.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Turizm*Turizm ve Otelcilik ,1.500 €,İngilizce,,,Veterinerlik Hayvan Ureme ve Biyoteknoloji,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
"İstatistik, bilişim ve nicel finansı ",1.800 €,Sırpça,,,Veterinerlik ,2.500 €,Sırpça,,,,,,,,,,,,,,,,,,,
Gıda Teknolojisi*BiyoTeknoloji*Bilgi Mühendisliği ,2.200 €,Sırpça,,,Akıllı Sistemler,4.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Uluslarası ekonomi ve ticaret ,1.500 €,Sırpça,,,Gelişmiş Veri Data Analizi,2.500 €,Sırpça,,,,,,,,,,,,,,,,,,,
Uluslararası ilişkiler ,1.500 €,Sırpça ,,,İnsan Bilimlerinde Bilgisayar Mühendisliği,2.500 €,Sırpça,,,,,,,,,,,,,,,,,,,
Psikoloji,1.900 €,Sırpça,,,Eğitim Politikaları,2.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Pedagoji,1.900 €,Sırpça,,,Terör Organize Suç ve Güvenlik,2.500 €,Sırpça,,,,,,,,,,,,,,,,,,,
Özel Eğitim ve Rehabilitasyon ,1.500 €,Sırpça,,,Tıbbı Mekatronik Aletleri,2.500 €,Sırpça,,,,,,,,,,,,,,,,,,,
Kimya*Cevre Kimyası*BiyoKimya,2.500 €,Sırpça,,,Toplum Kültür Avrupada Din Entagrasyonu,2.500 €,Sırpça,,,,,,,,,,,,,,,,,,,
Sosyoloji*Felsefe,1.900 €,Sırpça,,,Malzeme Mühendisliği,4.400 €,Sırpça,,,,,,,,,,,,,,,,,,,
Bitki TıpbI,2.200 €,Sırpça,,,BiyoKimya Mühendisliği,4.400 €,Sırpça,,,,,,,,,,,,,,,,,,,
Gazetecilik ve İletişim ,1.500 €,Sırpça,,,Kimya Mühendisliği,4.400 €,Sırpça,,,,,,,,,,,,,,,,,,,
Güvenlik,1.800 €,Sırpça,,,Metalurji Mühendisliği ,4.400 €,Sırpça,,,,,,,,,,,,,,,,,,,
Politikoloji,1.500 €,Sırpça,,,Cevre Mühendisliği,4.400 €,Sırpça,,,,,,,,,,,,,,,,,,,
Siyaset Bilimleri ,1.000 €,İngilizce*Sırpça,,,Kimya ,4.400 €,Sırpça,,,,,,,,,,,,,,,,,,,
Sosyal Çalışma,1.500 €,Sırpça,,,Uluslararası Uygulamalı Ekonomi,4.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Rekraasyon,2.000 €,Sırpça,,,Uluslararası İşletme Bilişimi,4.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Sırbistan da bulunuyor. Eğitim dili ,2.000 €,Sırpça,,,Uluslararası Finans ,4.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Andragoji,1.900 €,Sırpça,,,Uluslararası Vergilendirme,4.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Arkeoloji,1.900 €,Sırpça,,,Petrol Mühendisliği,4.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Etnoloji ve Antropoloji,1.900 €,Sırpça,,,Dijital Proses Mühendisliği,4.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Tarih,2.100 €,Sırpça,,,Elektrik Mühendisliği,4.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Sanat Tarihi,1.900 €,Sırpça,,,Orman Mühendisliği,4.000 €,Sırpça,,,,,,,,,,,,,,,,,,,
Filoloji Fakültesi,2500-6000 €* (*Eğitimi inglizcede almak isteyen),,,,,,,,,,,,,,,,,,,,,,,,,
Sırpça Dili ve Edebiyatı ,2500-6000€* (*Eğitimi inglizcede almak isteyenler),,,,,,,,,,,,,,,,,,,,,,,,,
"Dil,Edebiyat,Kültür (Turkçe,Arnavutça, Arapça, Bulgarca, Beyazruşça, Yunanca, Danca, İnglizce, İtalyanca, Japonca, Katalanca, Koreice, Çince, Latince, Macarca, Makedonca, Almanca, Norveççe, Dutch, Osmanlıca, Polyonyaca, Portugalca, Ruşça, Rumence, Slovakça, Slovence, Eski slovence, Türkçe, Ukraynaca, Fransızca, Hollandaca, Çekçe, İsveççe, İspanyolca.", 2500-6000€* (*Eğitimi inglizcede almak isteyen),,,,,,,,,,,,,,,,,,,,,,,,,
Yazılım Mühendisliği,2.500 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Nukleer Enerji Mühendisliği,2.500 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Hayvanat Bahcesi Bekcisi,1.800 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Bilgi Sistemleri Yönetimi ,2.500 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Kamu Yönetimi,2.500 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Jeodezi ve Jeoloji Mühendisliği,1.800 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Tekstil Mühendisliği,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Heykel,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Endustriyel Tasarım,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Kostüm,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
İç Mimarlık,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Seramik,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Resim,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Oyunculuk,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Tiyatro ve Radyo Yönetmenliği,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Drama,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Tiyatro Radyo ve Kültür Yönetimi ve Yapımcılığı,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Film ve Televizyon Yönetmenliği,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Film ve Televizyon Yapımcılığı,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Kemeramanlık,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Kurgu,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Ses Kaydı ve Tasarımı,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Yeni Medya,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Grafik,1.900 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
NOVİSAD DEVLET ÜNİVERSİTESİ,KAYIT 1250€,DİL ,,OTURUM İZNİ ÜCRETİ ,YUKSEK LİSANS 4000€,ÜCRET,DOKTORA,,,,,,,,,,,,,,,,,,,
Tıp,6.500 €,İngilizce,,200€  Yıllık,Bitki ilacı,4.000 €,Tarım bilimi,,,,,,,,,,,,,,,,,,,
Diş Hekimliği,6.500 €,Sırpca -İngilizce,,YURT,Su Yönetimi,4.000 €,Ziraat Ekonomisi,,,,,,,,,,,,,,,,,,,
Ezcacılık,6.500 €,Sırpca -İngilizce,,70*100€,Peyzaj Mimarlığı,4.000 €,Veteriner,,,,,,,,,,,,,,,,,,,
Tarla ve Sebze Bitkileri,3.000 €,Sırpça,,Ev Kirası 350€ Ortalama,"Toprak, Bitki Ve Genetik",4.000 €,Sosyal ve Beşeri Bilimlerde Disiplinlerarası Doktora Programı,,,,,,,,,,,,,,,,,,,
Bitki ilacı,3.000 €,Sırpça,,180€  eve ait giderler,Hayvan bilimi,4.000 €,Dil ve Edebiyat,,,,,,,,,,,,,,,,,,,
Su Yönetimi,3.000 €,Sırpça,,350 € enaz yeme içme,Meyve Bilimi Ve Bağcılık,4.000 €,Tarih,,,,,,,,,,,,,,,,,,,
Peyzaj Mimarlığı,3.000 €,Sırpça,, Dil 600€ *1800€ * Arası ,Hassas tarım,4.000 €,pedagoji,,,,,,,,,,,,,,,,,,,
Organik tarım,3.000 €,Sırpça,,EĞİTİME BAŞLAMA ZAMAN ARALIGI,Ziraat Ekonomisi,4.000 €,Psikoloji,,,,,,,,,,,,,,,,,,,
Hayvan bilimi,3.000 €,Sırpça,,Kış dönemi için Başlama 1 Ekim,Süs Bitkileri,4.000 €,sosyoloji,,,,,,,,,,,,,,,,,,,
"Meyve Bilimi, Bağcılık ve Bahçıvanlık",3.000 €,Sırpça,,Bahar Dönemi İcin başlama 1 ŞUBAT,"Dil, Edebiyat ve Kültür - modüller:",4.000 €,Felsefe,,,,,,,,,,,,,,,,,,,
Ziraat Mühendisliği Ve Bilişim Sistemleri,3.000 €,Sırpça,,Kış dönemi için son başvuru tarihi 25 Eylül'dür.,Sırp Dili ve Edebiyatı,4.000 €,Öğretme metodolojisi,,,,,,,,,,,,,,,,,,,
Ziraat Ekonomisi,3.000 €,Sırpça,,Bahar yarıyılı için son başvuru tarihi 20 Ocak'tır.,Yerli Olmayan ve Yabancı Bir Dil ve Edebiyat Olarak Sırpça,4.000 €,Gıda Mühendisliği,,,,,,,,,,,,,,,,,,,
Veterinerlik,3.000 €,Sırpça,,2 veya 3 seviye dil bilenler katılabilir,Sırp Edebiyatı ve Dili,4.000 €,Biyoteknoloji,,,,,,,,,,,,,,,,,,,
"Dil, Edebiyat ve Kültür - modüller:",3.000 €,Sırpça,,"Eylül, Aralık, Nisan ve Haziran",Karşılaştırmalı Edebiyat,4.000 €,ilaç mühendisliği,,,,,,,,,,,,,,,,,,,
Sırp Dili ve Edebiyatı,3.000 €,Sırpça,,Sırpça Dil Merkezi ALTA üniversitede hazırlık vermektedir.,İngiliz Dili ve Edebiyatı,4.000 €,Kimya Mühendisliği,,,,,,,,,,,,,,,,,,,
Yerli Olmayan ve Yabancı Bir Dil ve Edebiyat Olarak Sırpça,3.000 €,Sırpça,,Biyoloji*Kimya Sınavı Saglık isteyen giriyor ,Alman dili ve edebiyatı,4.000 €,malzeme mühendisliği,,,,,,,,,,,,,,,,,,,
Sırp Edebiyatı ve Dili,3.000 €,Sırpça,,Matematik*Fizik sınavı mühendislik isteyen giriyor,Başka Bir Roman Dili ve Kültürü İle Fransız Dili ve Edebiyatı,4.000 €,Hukuk,,,,,,,,,,,,,,,,,,,
Karşılaştırmalı Edebiyat,3.000 €,Sırpça,,Bölüme yönelik hazırlık veriyor,Rus Dili ve Edebiyatı,4.000 €,Kütüphanecilik alanında doktora çalışmaları,,,,,,,,,,,,,,,,,,,
İngiliz Dili ve Edebiyatı,3.000 €,Sırpça,,Ekim 2. hafta eğitim başlar,Macar dili ve edebiyatı,4.000 €,Sınıf Öğretmenliği Didaktiği (İlköğretim Sınıf Öğretmenliği Metodolojisinde ,,,,,,,,,,,,,,,,,,,
Alman dili ve edebiyatı,3.000 €,Sırpça,,NoviSad şehri kuzeydir,Slovak dili ve edebiyatı,4.000 €,Mühendislik Yönetimi,,,,,,,,,,,,,,,,,,,
Başka Bir Roman Dili ve Kültürü İle Fransız Dili ve Edebiyatı,3.000 €,Sırpça,,yatay geciş öğrencisi 4.sınıfa kadar almaktadır.,Başka Bir Roman Dili ve Kültürü ile Romen Dili,4.000 €,Beden Eğitimi ve Spor ,,,,,,,,,,,,,,,,,,,
Rus Dili ve Edebiyatı,3.000 €,Sırpça,,ekstra kredi başına yaklaşık 100€,Ruthenian Dili ve Edebiyatı,4.000 €,İnşaat mühendisliği,,,,,,,,,,,,,,,,,,,
Macar dili ve edebiyatı,3.000 €,Sırpça,,Başkent Belgradtır 1.5 Saat ucak ile,"İtalyan Dili, Edebiyatı ve Kültürü",4.000 €,Kompozisyon,,,,,,,,,,,,,,,,,,,
Slovak dili ve edebiyatı,3.000 €,Sırpça,,,"İspanyol Dili, Edebiyatı ve Kültürü",4.000 €,müzikoloji,,,,,,,,,,,,,,,,,,,
Başka Bir Roman Dili ve Kültürü ile Romen Dili,3.000 €,Sırpça,,,Tarih,4.000 €,Güzel Sanatlar,,,,,,,,,,,,,,,,,,,
Ruthenian Dili ve Edebiyatı,3.000 €,Sırpça,,,pedagoji,4.000 €,Uygulamalı Sanatlar ve Tasarım,,,,,,,,,,,,,,,,,,,
"İtalyan Dili, Edebiyatı ve Kültürü",3.000 €,Sırpça,,,Psikoloji,4.000 €,Dramatik ve Görsel-İşitsel Sanatlar,,,,,,,,,,,,,,,,,,,
"İspanyol Dili, Edebiyatı ve Kültürü",3.000 €,Sırpça,,,sosyoloji,4.000 €,Müzik - Gösteri Sanatları,,,,,,,,,,,,,,,,,,,
Tarih,3.000 €,Sırpça,,,Felsefe,4.000 €,etnomüzikoloji,,,,,,,,,,,,,,,,,,,
pedagoji,3.000 €,Sırpça,,,İletişim Çalışmaları,4.000 €,ekonomi,,,,,,,,,,,,,,,,,,,
Psikoloji,3.000 €,Sırpça,,,eğitimsel liderlik,4.000 €,İşletme Bilişimi,,,,,,,,,,,,,,,,,,,
sosyoloji,3.000 €,Sırpça,,,Sosyal çalışma,4.000 €,Makine Mühendisliği,,,,,,,,,,,,,,,,,,,
Felsefe,3.000 €,Sırpça,,,Sosyal Korumada Sosyoloji,4.000 €,"Güç, Elektronik ve Telekomünikasyon Mühendisliği",,,,,,,,,,,,,,,,,,,
Gazetecilik,3.000 €,Sırpça,,,kültür bilimi,4.000 €,Hesaplama ve Kontrol Mühendisliği,,,,,,,,,,,,,,,,,,,
Sosyal çalışma,3.000 €,Sırpça,,,Konferans Tercümanlığı ve Çeviri ,4.000 €,İnşaat mühendisliği,,,,,,,,,,,,,,,,,,,
İngilizce ve Başka Bir Yabancı Dilde Çift Anadal,3.000 €,Sırpça,,,Gıda mikrobiyolojisi ve güvenliği,4.000 €,Mimari,,,,,,,,,,,,,,,,,,,
kültür bilimi,3.000 €,Sırpça,,,Kozmetik teknolojisi,4.000 €,Sahne Tasarımı,,,,,,,,,,,,,,,,,,,
İletişim ve Halkla İlişkiler,3.000 €,Sırpça,,,"Gıda mühendisliği (Karbonhidrat gıda mühendisliği, Gıda koruma teknolojileri, Kalite kontrol)",4.000 €,Trafik mühendisliği,,,,,,,,,,,,,,,,,,,
"Gıda mühendisliği (Karbonhidrat gıda mühendisliği, Gıda koruma teknolojileri, Kalite kontrol)",3.000 €,Sırpça,,,"Biyoteknoloji (Gıda biyoteknolojisi, Biyokimya mühendisliği)",4.000 €,Endüstri Mühendisliği / Mühendislik Yönetimi,,,,,,,,,,,,,,,,,,,
"Biyoteknoloji (Gıda biyoteknolojisi, Biyokimya mühendisliği)",3.000 €,Sırpça,,,ilaç mühendisliği,4.000 €,Grafik Mühendisliği ve Tasarım,,,,,,,,,,,,,,,,,,,
ilaç mühendisliği,3.000 €,Sırpça,,,"Kimya mühendisliği (Kimya işleme mühendisliği, Petrol-petrokimya mühendisliği, Eko-enerjik mühendislik)",4.000 €,Çevre Mühendisliği,,,,,,,,,,,,,,,,,,,
"Kimya mühendisliği (Kimya işleme mühendisliği, Petrol-petrokimya mühendisliği, Eko-enerjik mühendislik)",3.000 €,Sırpça,,,malzeme mühendisliği,4.000 €,İş güvenliği,,,,,,,,,,,,,,,,,,,
malzeme mühendisliği,3.000 €,Sırpça,,,"Hukuk, Güvenlik ve İçişleri",4.000 €,mekatronik,,,,,,,,,,,,,,,,,,,
"Hukuk, Güvenlik ve İçişleri",3.000 €,Sırpça,,,Adli Tıp Çalışmaları,4.000 €,Mühendislikte Matematik,,,,,,,,,,,,,,,,,,,
İlköğretim Onur Derecesi ile Lisans,3.000 €,Sırpça,,,Vibro-Akustik Mühendisliği,4.000 €,Jeodezi ve Jeoinformatik,,,,,,,,,,,,,,,,,,,
Okul Öncesi Eğitim Onur Derecesi ile Lisans,3.000 €,Sırpça,,,İlköğretim Yüksek Lisansı,4.000 €,Mühendislik Animasyonu,,,,,,,,,,,,,,,,,,,
Komünikolojide Onur Derecesi ile Lisans,3.000 €,Sırpça,,,Okul Öncesi Eğitimi Yüksek Lisansı,4.000 €,Afet Risk Yönetimi ve Yangın Güvenliği,,,,,,,,,,,,,,,,,,,
Öğrenci Danışmanı,3.000 €,Sırpça,,,Okul Öğretmenliğinde Usta,4.000 €,Biyomedikal mühendisliği,,,,,,,,,,,,,,,,,,,
İlköğretim Öğretmenliği Eğitiminde Onur Derecesi ile Lisans,3.000 €,Sırpça,,,Kütüphanecilikte Usta,4.000 €,Bilgi Sistemleri Mühendisliği,,,,,,,,,,,,,,,,,,,
Okul Öncesi Eğitimde Onur Derecesi ile Lisans,3.000 €,Sırpça,,,Bilgi Teknolojisi - modüller:,4.000 €,Biyomedikal Bilimlerde Doktora Akademik Çalışmaları - modüller:,,,,,,,,,,,,,,,,,,,
